time_s,x_num_m,y_num_m,z_num_m,x_ana_m,y_ana_m,z_ana_m,error_m,rel_error
0.0,6828137.0,0.0,0.0,6828137.0,0.0,0.0,0.0,0.0
10.0,6827709.536737395,47457.3681095174,-59876.29686556804,6827709.536737395,47457.368109517396,-59876.29686556805,1.626953582672133e-11,2.382719594923378e-18
20.0,6826427.200470723,94908.79425231465,-119745.09683492212,6826427.200470724,94908.79425231482,-119745.09683492244,1.0001729403994734e-09,1.4647815947446183e-16
30.0,6824290.151756704,142348.33720564426,-179598.90395050845,6824290.151756707,142348.3372056446,-179598.90395050897,2.864029863882471e-09,4.194452841064072e-16
40.0,6821298.658167543,189770.05723461052,-239430.22413197477,6821298.65816754,189770.0572346107,-239430.22413197494,2.8048604268479996e-09,4.1077975249295664e-16
50.0,6817453.094257402,237168.01683586126,-299231.5661144757,6817453.094257402,237168.0168358612,-299231.5661144757,5.820766091346741e-11,8.524676776911097e-18
60.0,6812753.941515543,284536.2814810023,-358995.4423866295,6812753.941515544,284536.2814810023,-358995.44238662964,1.8662795822463695e-09,2.733219298684794e-16
70.0,6807201.788306011,331868.92035963875,-418714.37012800155,6807201.788306017,331868.92035963904,-418714.370128002,6.5423442962484254e-09,9.581448492097368e-16
80.0,6800797.329793975,379160.0071219497,-478380.8721460012,6800797.329793993,379160.0071219506,-478380.87214600237,1.8686019095809484e-08,2.7366204128314184e-15
90.0,6793541.367858741,426403.62062070833,-537987.4778120776,6793541.367858737,426403.6206207078,-537987.4778120769,4.737760346644705e-09,6.938584194553662e-16
100.0,6785434.810993234,473593.84565264056,-597526.7239970823,6785434.8109931955,473593.84565263806,-597526.7239970788,3.8425213228775466e-08,5.627481292302053e-15
110.0,6776478.67419026,520724.77369904774,-656991.156005701,6776478.674190259,520724.7736990475,-656991.1560057007,1.0215403031781459e-09,1.496074702628471e-16
120.0,6766674.078815667,567790.5036656045,-716373.3285098493,6766674.078815669,567790.5036656045,-716373.328509849,1.877140660839749e-09,2.749125655855688e-16
130.0,6756022.252467614,614785.1426211951,-775665.8064808478,6756022.25246762,614785.1426211955,-775665.8064808481,6.54519200179288e-09,9.58561903751035e-16
140.0,6744524.528823038,661702.8065357553,-834861.1661203505,6744524.528823056,661702.8065357569,-834861.1661203526,1.8814675371010717e-08,2.7554624886716122e-15
150.0,6732182.3474706905,708537.6210169945,-893951.9957898554,6732182.347470686,708537.6210169938,-893951.9957898546,4.7787036168793665e-09,6.998546773269732e-16
160.0,6718997.253730773,755283.7220458952,-952930.8969386736,6718997.253730736,755283.7220458915,-952930.8969386686,3.777188360805999e-08,5.531799319208152e-15
170.0,6704970.898461468,801935.2567109279,-1011790.485030278,6704970.898461468,801935.2567109279,-1011790.4850302777,2.3283064365386963e-10,3.409870710764439e-17
180.0,6690105.037852475,848486.3839408961,-1070523.3904669243,6690105.037852478,848486.3839408966,-1070523.3904669248,2.8705289601203874e-09,4.203970951550016e-16
190.0,6674401.533204809,894931.275236244,-1129122.259512331,6674401.533204815,894931.2752362451,-1129122.2595123327,6.8199907037787186e-09,9.988069518491968e-16
