integrator,metric,unit,max_abs,mean_abs,rms
pd853,Position error ||r||,m,6.58505265792643e-06,2.6241048784944636e-06,3.4029706977630176e-06
pd853,Position relative error,1,9.64399609721719e-13,3.84307590561593e-13,4.98374695434936e-13
pd853,Velocity error ||v||,m/s,7.341437683517564e-09,2.9344369048075087e-09,3.805627604319102e-09
pd853,Velocity relative error,1,9.608671413542136e-13,3.840670072752994e-13,4.980907929560621e-13
pd853,Angular momentum error |h|,m^2/s,0.0003738403320312,0.00017175982360166992,0.00019502040161163461
pd853,Angular momentum relative error,1,7.165824258763617e-15,3.2923165458323307e-15,3.738178588782694e-15
pd853,Energy error,J/kg,4.209578037261963e-07,1.9272093750263113e-07,2.1870542426850447e-07
pd853,Energy relative error,1,1.4422249730807583e-14,6.602727077192177e-15,7.492970122806415e-15
symplectic,Position error ||r||,m,4.517047324415235e-06,1.6446430704161177e-06,2.029933156737494e-06
symplectic,Position relative error,1,6.615343723207715e-13,2.40862635066654e-13,2.972894592972423e-13
symplectic,Velocity error ||v||,m/s,4.8010783740586925e-09,1.8354143004930787e-09,2.263237679665696e-09
symplectic,Velocity relative error,1,6.283780713764707e-13,2.402239681302348e-13,2.9621864452352787e-13
symplectic,Angular momentum error |h|,m^2/s,0.00042724609375,0.00019071985347830992,0.00021897110951569124
symplectic,Angular momentum relative error,1,8.189513438586991e-15,3.6557450750622e-15,4.197269138967397e-15
symplectic,Energy error,J/kg,4.917383193969727e-07,2.137698408161486e-07,2.453134935475974e-07
symplectic,Energy relative error,1,1.684722977404071e-14,7.323874274037173e-15,8.404577453994674e-15
