time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
0.0,6821000.0,0.0,0.0,0.0,4748.318046402349,-5990.88639518346
10.0,6820571.641750303,47482.18647989455,-59907.60985597642,-85.67075323255419,4748.019852412119,-5990.510168001173
20.0,6819286.620802942,94958.40920482876,-119807.69532582138,-171.33074623232568,4747.1253078945465,-5989.38153370839
30.0,6817145.098556334,142422.70516888893,-179692.73296846502,-256.9692201180154,4745.634525204277,-5987.500634061394
40.0,6814147.343985341,189869.11286416088,-239555.2012328424,-342.5754187111229,4743.547691583379,-5984.867705300876
50.0,6810293.733607447,237291.6730294934,-299387.58140259853,-428.138589886917,4740.865069137815,-5981.483078122265
60.0,6805584.751435477,284684.42939898133,-359182.358540438,-513.6479869249026,4737.586994804534,-5977.34717763419
70.0,6800020.988916855,332041.42945007235,-418932.02243200113,-599.0928698586108,4733.713880309142,-5972.4605233050825
80.0,6793603.144859237,379356.72515120055,-478629.06852914323,-684.462506824531,4729.246212114196,-5966.823728897939
90.0,6786332.025342818,426624.37370886176,-538265.9988925083,-769.7461754100359,4724.184551358099,-5960.437502393228
100.0,6778208.543619071,473838.4383140262,-597835.3231332679,-854.9331640001135,4718.529533784623,-5953.302645899962
110.0,6769233.71999592,520992.988887793,-657329.5593539034,-940.0127731227412,4712.281869663066,-5945.420055554972
120.0,6759408.68170975,568082.1028262179,-716741.2350879448,-1024.9743167927402,4705.4423436990355,-5936.790721410336
130.0,6748734.662783858,615099.8657441932,-776062.8882385121,-1109.8071238539358,4698.011814935885,-5927.415727309024
140.0,6737213.003873258,662040.3722182799,-835287.0680155376,-1194.5005393194485,4689.991216646831,-5917.2962507487855
150.0,6724845.152096465,708897.7265284406,-894406.3358715996,-1279.0439257099624,4681.381556217722,-5906.433562734242
160.0,6711632.660853703,755666.0433985386,-953413.2664361992,-1363.426664389789,4672.183915020518,-5894.829027617251
170.0,6697577.18963167,802339.4487355136,-1012300.448448369,-1447.6381569005653,4662.399448277471,-5882.484102925559
180.0,6682680.503795269,848912.0803671851,-1071060.4856875488,-1531.6678262924186,4652.029384916028,-5869.400339179714
190.0,6666944.474365912,895378.0887785426,-1129685.9979025521,-1615.5051184524332,4641.07502741447,-5855.579379698328
