time_s,energy_Jkg,dE_rel,h_mag_m2s
0.0,-29188081.74176939,0.0,52169899605.720215
10.0,-29188081.74176939,0.0,52169899605.72022
20.0,-29188081.74176939,0.0,52169899605.72022
30.0,-29188081.741769373,5.105221139806341e-16,52169899605.72022
40.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72023
50.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72023
60.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
70.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
80.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
90.0,-29188081.74176939,0.0,52169899605.72022
100.0,-29188081.74176939,0.0,52169899605.720215
110.0,-29188081.74176939,0.0,52169899605.72021
120.0,-29188081.74176939,0.0,52169899605.72021
130.0,-29188081.74176939,0.0,52169899605.720215
140.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.72021
150.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.72021
160.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.72021
170.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
180.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
190.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
200.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
210.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
220.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
230.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
240.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.720215
250.0,-29188081.74176939,0.0,52169899605.72021
260.0,-29188081.74176939,0.0,52169899605.72022
270.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
280.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
290.0,-29188081.74176939,0.0,52169899605.720215
300.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
310.0,-29188081.74176938,2.5526105699031706e-16,52169899605.720215
320.0,-29188081.74176939,0.0,52169899605.720215
330.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.720215
340.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.720215
350.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
360.0,-29188081.74176939,0.0,52169899605.72022
370.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.72021
380.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.72021
390.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.720215
400.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.720215
410.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.72022
420.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.72022
430.0,-29188081.74176939,0.0,52169899605.72022
440.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
450.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72023
460.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72023
470.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
480.0,-29188081.741769373,5.105221139806341e-16,52169899605.72022
490.0,-29188081.741769366,7.657831709709511e-16,52169899605.72023
500.0,-29188081.741769366,7.657831709709511e-16,52169899605.72023
510.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72023
520.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72023
530.0,-29188081.74176939,0.0,52169899605.72022
540.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
550.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
560.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
570.0,-29188081.741769373,5.105221139806341e-16,52169899605.72024
580.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
590.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
600.0,-29188081.741769373,5.105221139806341e-16,52169899605.72024
610.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
620.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
630.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
640.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
650.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72023
660.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
670.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
680.0,-29188081.74176939,0.0,52169899605.72022
690.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72023
700.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
710.0,-29188081.74176939,0.0,52169899605.72022
720.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
730.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
740.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
750.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
760.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72023
770.0,-29188081.74176939,0.0,52169899605.720215
780.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
790.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
800.0,-29188081.74176939,0.0,52169899605.72022
810.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
820.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
830.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
840.0,-29188081.741769373,5.105221139806341e-16,52169899605.72024
850.0,-29188081.741769373,5.105221139806341e-16,52169899605.72024
860.0,-29188081.741769373,5.105221139806341e-16,52169899605.72024
870.0,-29188081.741769373,5.105221139806341e-16,52169899605.72024
880.0,-29188081.741769373,5.105221139806341e-16,52169899605.72024
890.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
900.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
910.0,-29188081.741769373,5.105221139806341e-16,52169899605.72024
920.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
930.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
940.0,-29188081.741769373,5.105221139806341e-16,52169899605.72024
950.0,-29188081.741769373,5.105221139806341e-16,52169899605.72024
960.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
970.0,-29188081.741769373,5.105221139806341e-16,52169899605.72022
980.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72023
990.0,-29188081.741769373,5.105221139806341e-16,52169899605.72022
1000.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1010.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1020.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72023
1030.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
1040.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1050.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
1060.0,-29188081.741769373,5.105221139806341e-16,52169899605.72022
1070.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1080.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1090.0,-29188081.74176938,2.5526105699031706e-16,52169899605.720215
1100.0,-29188081.74176939,0.0,52169899605.72022
1110.0,-29188081.741769373,5.105221139806341e-16,52169899605.72022
1120.0,-29188081.74176939,0.0,52169899605.720215
1130.0,-29188081.74176938,2.5526105699031706e-16,52169899605.720215
1140.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1150.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1160.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1170.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1180.0,-29188081.741769373,5.105221139806341e-16,52169899605.72022
1190.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
1200.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1210.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1220.0,-29188081.74176939,0.0,52169899605.720215
1230.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1240.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1250.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1260.0,-29188081.74176939,0.0,52169899605.72022
1270.0,-29188081.74176938,2.5526105699031706e-16,52169899605.720215
1280.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1290.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1300.0,-29188081.74176938,2.5526105699031706e-16,52169899605.720215
1310.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1320.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1330.0,-29188081.74176938,2.5526105699031706e-16,52169899605.720215
1340.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.720215
1350.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1360.0,-29188081.74176939,0.0,52169899605.72021
1370.0,-29188081.74176939,0.0,52169899605.72022
1380.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1390.0,-29188081.74176939,0.0,52169899605.72022
1400.0,-29188081.74176939,0.0,52169899605.720215
1410.0,-29188081.74176939,0.0,52169899605.720215
