time_s,r_error_norm_m,v_error_norm_ms,vx_error_ms,vy_error_ms,vz_error_ms,h_error_m2s,energy_error_Jkg
0.0,0.0,2.8752214595087013e-06,0.0,-1.7859374565887265e-06,-2.253292223031167e-06,19.632400512695312,-0.021967925131320953
10.0,2.875158702465273e-05,2.875040929532915e-06,-3.950617610826157e-12,-1.7858246792457066e-06,-2.253151251352392e-06,19.632400512695312,-0.021967928856611252
20.0,5.7499581041801654e-05,2.8745015994958617e-06,-3.2088109946926124e-11,-1.7854899851954542e-06,-2.2527283363160677e-06,19.632400512695312,-0.021967921406030655
30.0,8.624035365358018e-05,2.8736056092148256e-06,-1.0857093002414331e-10,-1.7849333744379692e-06,-2.252026206406299e-06,19.632408142089844,-0.021967928856611252
40.0,0.00011497049508050354,2.8723508263081493e-06,-2.573870006017387e-10,-1.7841548469732516e-06,-2.2510421331389807e-06,19.632400512695312,-0.021967917680740356
50.0,0.00014368625040805146,2.870744663024457e-06,-5.023821358918212e-10,-1.7831571312854066e-06,-2.249783392471727e-06,19.632408142089844,-0.02196793258190155
60.0,0.00017238417490559078,2.868788281242447e-06,-8.6811269284226e-10,-1.781942046363838e-06,-2.248249984404538e-06,19.632400512695312,-0.021967925131320953
70.0,0.00020106082747259893,2.866488422574396e-06,-1.3778844731859863e-09,-1.780512320692651e-06,-2.2464482754003257e-06,19.632408142089844,-0.02196793258190155
80.0,0.0002297128007655741,2.8638480058897378e-06,-2.055458026006818e-09,-1.7788725017453544e-06,-2.2443782654590905e-06,19.632408142089844,-0.02196793258190155
90.0,0.00025833685033435383,2.8608772751086797e-06,-2.9242528398754075e-09,-1.7770262275007553e-06,-2.2420499590225518e-06,19.632408142089844,-0.021967928856611252
100.0,0.0002869291880076817,2.8575806889272315e-06,-4.007688403362408e-09,-1.7749780454323627e-06,-2.239465175080113e-06,19.632400512695312,-0.021967940032482147
110.0,0.00031548724246186497,2.853967776703817e-06,-5.328843144525308e-09,-1.7727325030136853e-06,-2.2366320990840904e-06,19.632408142089844,-0.021967943757772446
