time_s,x_num_m,y_num_m,z_num_m,r_num_m,x_ana_m,y_ana_m,z_ana_m,r_ana_m,r_error_norm_m,r_error_rel,vx_num_ms,vy_num_ms,vz_num_ms,v_num_ms,vx_ana_ms,vy_ana_ms,vz_ana_ms,v_ana_ms,v_error_norm_ms,v_error_rel,energy_error_Jkg,energy_error_rel,|h|_error_m2s,|h|_error_rel
0.0,6828137.0,0.0,0.0,6828137.0,6828137.0,0.0,0.0,6828137.0,0.0,0.0,0.0,4745.835844424443,5987.75463570269,7640.42953240215,0.0,4745.835844424443,5987.75463570269,7640.42953240215,0.0,0.0,0.0,0.0,0.0,0.0
10.0,6827709.536737719,47457.36809165916,59876.29684303653,6828137.000000001,6827709.536737718,47457.368091659155,59876.29684303655,6828137.0,9.316067483549256e-10,1.3643644647946073e-16,-85.49176042631294,4745.538739888856,5987.379783070071,7640.429532402149,-85.49176042631296,4745.538739888856,5987.379783070073,7640.4295324021505,1.8192114345999083e-12,2.381032933927143e-16,-3.725290298461914e-09,-1.276305285912175e-16,0.0,0.0
20.0,6826427.200472012,94908.79421660503,119745.09678986788,6828137.000000001,6826427.200472011,94908.79421660502,119745.0967898679,6828137.0,9.315499205421203e-10,1.364281238853468e-16,-170.9728167361706,4744.647463481486,5986.255272106169,7640.429532402148,-170.9728167361707,4744.647463481485,5986.255272106173,7640.4295324021505,3.750911963176954e-12,4.909294624431497e-16,-3.725290298461914e-09,-1.276305285912175e-16,0.0,0.0
30.0,6824290.151759602,142348.33715209673,179598.90388294827,6828137.000000001,6824290.1517596,142348.3371520967,179598.90388294833,6828136.999999999,1.863781670875075e-09,2.7295610367441003e-16,-256.4324661533419,4743.162126795852,5984.381243606968,7640.429532402149,-256.432466153342,4743.162126795851,5984.38124360697,7640.42953240215,2.0344862341713998e-12,2.6627903909634744e-16,-3.725290298461914e-09,-1.276305285912175e-16,0.0,0.0
40.0,6821298.658172688,189770.05716324472,239430.22404193343,6828137.000000003,6821298.658172687,189770.05716324475,239430.2240419335,6828137.000000001,1.864917499898094e-09,2.731224490513436e-16,-341.86000858187566,4741.082915805629,5981.757932212846,7640.429532402149,-341.86000858187583,4741.0829158056285,5981.757932212849,7640.4295324021505,2.881125942047717e-12,3.7708952485317816e-16,1.1175870895385742e-08,3.8289158577365256e-16,0.0,0.0
50.0,6817453.094265442,237168.0167467041,299231.5660019873,6828137.000000001,6817453.0942654405,237168.01674670412,299231.5660019875,6828136.999999999,1.871039061858951e-09,2.7401896913593723e-16,-427.2447479458217,4738.410090841363,5978.385666379208,7640.429532402149,-427.244747945822,4738.410090841362,5978.38566637921,7640.42953240215,2.890083992243981e-12,3.7826197859524516e-16,-3.725290298461914e-09,-1.276305285912175e-16,0.0,0.0
60.0,6812753.94152712,284536.2813740876,358995.4422517366,6828137.000000002,6812753.941527118,284536.2813740875,358995.44225173676,6828137.0,1.874431291141619e-09,2.745157707207133e-16,-512.575993528448,4735.143986557873,5974.264868335354,7640.429532402148,-512.5759935284482,4735.143986557871,5974.264868335356,7640.429532402149,3.2871030941353094e-12,4.302249081933284e-16,3.725290298461914e-09,1.276305285912175e-16,0.0,0.0
70.0,6807201.788321767,331868.92023500684,418714.36997075495,6828137.000000002,6807201.788321766,331868.9202350068,418714.36997075524,6828137.000000001,9.7747284591586e-10,1.4315366635377408e-16,-597.8430613107867,4731.285011892353,5969.396054031616,7640.429532402149,-597.8430613107869,4731.2850118923525,5969.396054031619,7640.4295324021505,3.756829674298002e-12,4.917039884165851e-16,3.725290298461914e-09,1.276305285912175e-16,0.0,0.0
80.0,6800797.329814558,379160.0069796479,478380.87196646055,6828137.000000001,6800797.329814556,379160.0069796477,478380.8719664608,6828136.999999999,1.891525090820147e-09,2.7701920609093626e-16,-683.035275309342,4726.83365001317,5963.779833074756,7640.429532402148,-683.0352753093421,4726.833650013168,5963.779833074759,7640.42953240215,3.2811998811807397e-12,4.2945227977897877e-16,-3.725290298461914e-09,-1.276305285912175e-16,0.0,0.0
90.0,6793541.367884753,426403.620460788,537987.4776103077,6828137.000000001,6793541.367884752,426403.62046078785,537987.4776103081,6828137.0,1.0098651734237485e-09,1.478976144479451e-16,-768.1419689127913,4721.790458259366,5957.416908651642,7640.429532402148,-768.1419689127918,4721.790458259365,5957.416908651646,7640.42953240215,3.777415196472282e-12,4.943982770147562e-16,-3.725290298461914e-09,-1.276305285912175e-16,-7.62939453125e-06,-1.462413114033391e-16
100.0,6785434.811025302,473593.8454751615,597526.7237731585,6828137.000000001,6785434.811025301,473593.84547516133,597526.723773159,6828137.0,1.0557913423525783e-09,1.5462363194420063e-16,-853.1524862175148,4716.156068070878,5950.308077441201,7640.429532402148,-853.1524862175152,4716.156068070877,5950.308077441205,7640.42953240215,3.76542065207086e-12,4.928283987310086e-16,-3.725290298461914e-09,-1.276305285912175e-16,-7.62939453125e-06,-1.462413114033391e-16
110.0,6776478.67422909,520724.7735040808,656991.1557597135,6828137.000000001,6776478.674229089,520724.77350408066,656991.1557597138,6828136.999999999,1.0014424644227404e-09,1.4666408486278768e-16,-938.0561833617808,4709.931184909478,5942.454229514672,7640.429532402147,-938.0561833617809,4709.931184909477,5942.454229514676,7640.42953240215,3.751665644813329e-12,4.910281063260858e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
120.0,6766674.078861859,567790.5034532214,716373.3282418877,6828137.000000001,6766674.078861858,567790.5034532213,716373.3282418881,6828136.999999999,1.0014424644227404e-09,1.4666408486278768e-16,-1022.8424298584264,4703.116588170444,5933.856348224163,7640.429532402147,-1022.8424298584268,4703.116588170443,5933.856348224168,7640.42953240215,4.6597737154841516e-12,6.098837369970638e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-1.52587890625e-05,-2.924826228066782e-16
