time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
0.0,6828137.0,0.0,0.0,0.0,4745.835844424443,5987.75463570269
10.0,6827709.536737719,47457.36809165916,59876.29684303653,-85.49176042631294,4745.538739888856,5987.3797830700705
20.0,6826427.200472012,94908.79421660503,119745.09678986788,-170.9728167361706,4744.647463481486,5986.255272106169
30.0,6824290.151759602,142348.33715209673,179598.90388294827,-256.4324661533419,4743.162126795852,5984.3812436069675
40.0,6821298.6581726875,189770.05716324472,239430.22404193343,-341.86000858187566,4741.082915805629,5981.757932212846
50.0,6817453.094265442,237168.01674670406,299231.5660019873,-427.2447479458217,4738.410090841363,5978.385666379208
60.0,6812753.94152712,284536.28137408756,358995.4422517366,-512.575993528448,4735.143986557873,5974.264868335354
70.0,6807201.788321767,331868.92023500684,418714.36997075495,-597.8430613107867,4731.285011892353,5969.396054031616
80.0,6800797.329814558,379160.00697964785,478380.87196646055,-683.035275309342,4726.83365001317,5963.779833074756
90.0,6793541.367884753,426403.62046078796,537987.4776103077,-768.1419689127913,4721.790458259366,5957.416908651642
100.0,6785434.811025302,473593.84547516145,597526.7237731585,-853.1524862175148,4716.156068070878,5950.308077441201
110.0,6776478.67422909,520724.77350408083,656991.1557597135,-938.0561833617807,4709.931184909478,5942.454229514672
120.0,6766674.078861859,567790.5034532214,716373.3282418877,-1022.8424298584265,4703.116588170444,5933.856348224163
130.0,6756022.252521801,614785.142391476,775665.8061910137,-1107.500609925864,4695.71313108497,5924.51551007953
140.0,6744524.528885858,661702.8062887876,834861.1658087543,-1192.0201238172422,4687.721740613346,5914.432884613587
150.0,6732182.347542736,708537.620752868,893951.99545661,-1276.390389147605,4679.143417328887,5903.609734235678
160.0,6718997.2538126595,755283.721764709,952930.8965839039,-1360.6008422188725,4669.979235292661,5892.047414073613
170.0,6704970.898553887,801935.2564127953,1011790.4846541272,-1444.6409393424842,4660.230341919005,5879.747371803997
180.0,6690105.037956015,848486.3836259266,1070523.3900695308,-1528.5001581595366,4649.897957831867,5866.711147470974
190.0,6674401.533320087,894931.2749045572,1129122.2590938457,-1612.1679989582492,4638.98337671197,5852.940373293397
200.0,6657862.350825553,941264.1150505613,1187579.754773019,-1695.6339859885966,4627.487965134838,5838.436773460473
210.0,6640489.561284086,987479.1028953333,1245888.5578538466,-1778.887668773939,4615.413162399695,5823.2021639158775
220.0,6622285.339880305,1033570.4520261313,1304041.3677003905,-1861.9186234194892,4602.760480349247,5807.238452130387
230.0,6603251.965899431,1079532.3915105728,1362030.903208066,-1944.7164539174507,4589.531503180398,5790.547636863053
240.0,6583391.8224419,1125359.1666191926,1419849.9037152824,-2027.270793448665,4575.727887245896,5773.131807910946
250.0,6562707.396124987,1171045.0395459721,1477491.1299125243,-2109.5713056806035,4561.351360846944,5754.993145847495
260.0,6541201.276771466,1216584.2901267488,1534947.3647487592,-2191.6076860615426,4546.403724016808,5736.133921749469
270.0,6518876.157085346,1261971.2165554182,1592211.4143350592,-2273.36966311076,4530.886848295443,5716.5564969126235
280.0,6495734.832314729,1307200.1360978358,1649276.1088453217,-2354.846999704589,4514.802676495161,5696.26332255605
290.0,6471780.199901824,1352265.3858033323,1706134.3034139774,-2436.0294943581725,4498.153222457379,5675.25693951527
300.0,6447015.259120172,1397161.3232137512,1762778.8790305736,-2516.9069825027555,4480.940570800476,5653.539977924101
310.0,6421443.110699116,1441882.3270699207,1819202.7434311197,-2597.4693377583517,4463.166876658782,5631.115156885353
320.0,6395066.9564355705,1486422.7980154715,1875398.8319860846,-2677.7064732016343,4444.834365412741,5607.9852841303755
330.0,6367890.098793134,1530777.159297912,1931360.1085849325,-2757.6083426288806,4425.945332410285,5584.153255667513
340.0,6339915.940488604,1574939.857466873,1987079.5665170907,-2837.164941813823,4406.502142679434,5559.622055419504
350.0,6311147.9840659285,1618905.363069437,2042550.229349233,-2916.3663097602416,4386.507230632184,5534.394754849881
360.0,6281589.831457671,1662668.1713424586,2097765.151798775,-2995.202529949144,4365.963099759701,5508.474512578394
370.0,6251245.1835340215,1706222.8029017982,2152717.4206034676,-3073.6637315803787,4344.872322318872,5481.864573985539
380.0,6220117.839639427,1749563.804428375,2207400.155386982,-3151.7400908085215,4323.237539010234,5454.568270806214
390.0,6188211.697116887,1792685.7493509583,2261806.5095203766,-3229.421831972884,4301.061458647349,5426.58902071256
400.0,6155530.750819981,1835583.2385256076,2315929.670979338,-3306.6992288214888,4278.34685781764,5397.930326886052
410.0,6122079.092612688,1878250.9009116816,2369762.863197093,-3383.5626057288596,4255.096580534743,5368.595777578875
420.0,6087860.91085706,1920683.394244326,2423299.345912874,-3460.0023389074704,4231.313537882423,5338.589045664653
430.0,6052880.489888811,1962875.4057033597,2476532.4160158476,-3536.0088576127064,4207.00070765008,5307.913888178582
440.0,6017142.209480888,2004821.6525784736,2529455.4083843823,-3611.572645341181,4182.161133959919,5276.574145847024
450.0,5980650.544295102,2046516.8829306602,2582061.6967205675,-3686.684241022265,4156.797926885803,5244.5737426066235
460.0,5943410.063321867,2087955.8762497897,2634344.6943798685,-3761.3342402026715,4130.914262063848,5211.916685113007
470.0,5905425.429308131,2129133.4441082515,2686297.8551958147,-3835.513296223955,4104.513380294819,5178.607062239123
