time_s,x_num_m,y_num_m,z_num_m,r_num_m,x_ana_m,y_ana_m,z_ana_m,r_ana_m,r_error_norm_m,r_error_rel,vx_num_ms,vy_num_ms,vz_num_ms,v_num_ms,vx_ana_ms,vy_ana_ms,vz_ana_ms,v_ana_ms,v_error_norm_ms,v_error_rel,energy_error_Jkg,energy_error_rel,|h|_error_m2s,|h|_error_rel
0.0,6828137.0,0.0,0.0,6828137.0,6828137.0,0.0,0.0,6828137.0,0.0,0.0,0.0,4745.835844424443,5987.75463570269,7640.42953240215,0.0,4745.835846210381,5987.754637955983,7640.429535277371,2.8752214595087013e-06,3.763167301305819e-10,-0.0219679251313209,-7.526333976200948e-10,-19.632408142089844,-3.763167705988306e-10
10.0,6827709.536737395,47457.368091658405,59876.29684303563,6828136.999999678,6827709.536737395,47457.368109517396,59876.29686556805,6828137.0,2.875158702465273e-05,4.210751340322072e-12,-85.49176049065952,4745.538739888632,5987.37978306979,7640.42953240251,-85.49176049065557,4745.538741674457,5987.379785322942,7640.429535277371,2.875040929532915e-06,3.7629310188102433e-10,-0.0219679288566112,-7.526335252506233e-10,-19.632408142089844,-3.763167705988306e-10
20.0,6826427.200470724,94908.79421659908,119745.0967898604,6828136.999998714,6826427.200470724,94908.79425231482,119745.09683492244,6828137.000000001,5.7499581041801654e-05,8.420976474520304e-12,-170.97281686487187,4744.64746348059,5986.255272105042,7640.429532403589,-170.97281686483979,4744.64746526608,5986.255274357771,7640.42953527737,2.8745015994958617e-06,3.7622251291288285e-10,-0.0219679288566112,-7.526335252506233e-10,-19.632408142089844,-3.763167705988306e-10
30.0,6824290.151756706,142348.3371520766,179598.90388292298,6828136.999997105,6824290.151756707,142348.3372056446,179598.90395050897,6828137.000000001,8.624035365358018e-05,1.263014401345201e-11,-256.4324663464139,4743.162126793836,5984.381243604428,7640.429532405387,-256.4324663463053,4743.16212857877,5984.381245856454,7640.429535277371,2.8736056092148256e-06,3.7610524329120783e-10,-0.0219679288566112,-7.526335252506233e-10,-19.632408142089844,-3.763167705988306e-10
40.0,6821298.658167538,189770.05716319705,239430.2240418733,6828136.999994854,6821298.65816754,189770.0572346107,239430.22413197494,6828137.0,0.00011497049508050354,1.6837754585255618e-11,-341.86000883934247,4741.082915802045,5981.757932208328,7640.429532407908,-341.8600088390851,4741.0829175862,5981.7579344593705,7640.42953527737,2.8723508263081493e-06,3.759410139241438e-10,-0.0219679176807403,-7.52633142359038e-10,-19.632408142089844,-3.763167705988306e-10
50.0,6817453.094257396,237168.0167466108,299231.56600186974,6828136.999991959,6817453.094257402,237168.0168358612,299231.5661144757,6828137.0,0.00014368625040805146,2.1043258272066227e-11,-427.2447482677152,4738.4100908357605,5978.385666372144,7640.429532411146,-427.2447482672128,4738.410092618918,5978.385668621928,7640.4295352773715,2.870744663024457e-06,3.757307949467582e-10,-0.0219679325819015,-7.526336528811518e-10,-19.632408142089844,-3.763167705988306e-10
60.0,6812753.941515532,284536.28137392626,358995.44225153327,6828136.999988423,6812753.941515544,284536.2814810023,358995.44238662964,6828137.0,0.00017238417490559078,2.52461505833276e-11,-512.5759939148081,4735.1439865498,5974.264868325173,7640.4295324151035,-512.57599391394,4735.143988331742,5974.264870573423,7640.429535277371,2.868788281242447e-06,3.7547473842886526e-10,-0.0219679251313209,-7.526333976200948e-10,-19.632408142089844,-3.763167705988306e-10
70.0,6807201.788305993,331868.9202347505,418714.369970432,6828136.999984244,6807201.788306017,331868.92035963904,418714.370128002,6828137.0,0.00020106082747259893,2.944592756012349e-11,-597.8430617616611,4731.285011881355,5969.396054017744,7640.429532419779,-597.8430617602833,4731.285013661867,5969.396056264192,7640.429535277371,2.866488422574396e-06,3.7517372673084065e-10,-0.0219679325819015,-7.526336528811518e-10,-19.63241577148437,-3.76316916840142e-10
80.0,6800797.329793952,379160.00697926496,478380.871965978,6828136.999979423,6800797.329793993,379160.0071219506,478380.87214600237,6828137.0,0.0002297128007655741,3.364209018734892e-11,-683.0352758247857,4726.83364999879,5963.779833056618,7640.4295324251725,-683.0352758227302,4726.833651777662,5963.779835300997,7640.42953527737,2.8638480058897378e-06,3.748281418821791e-10,-0.0219679251313209,-7.526333976200948e-10,-19.63241577148437,-3.76316916840142e-10
90.0,6793541.367858671,426403.6204602424,537987.4776096201,6828136.999973962,6793541.367858737,426403.6206207078,537987.4778120769,6828137.0,0.00025833685033435383,3.7834163306089765e-11,-768.1419694928672,4721.790458241145,5957.416908628657,7640.429532431284,-768.141969489943,4721.790460018171,5957.416910870707,7640.429535277371,2.8608772751086797e-06,3.7443932463475317e-10,-0.0219679288566112,-7.526335252506233e-10,-19.632408142089844,-3.763167705988306e-10
100.0,6785434.810993095,473593.8454744127,597526.7237722143,6828136.99996786,6785434.8109931955,473593.84565263806,597526.7239970788,6828137.0,0.0002869291880076817,4.202159212793793e-11,-853.1524868622926,4716.156068048353,5950.308077412786,7640.429532438111,-853.1524868582849,4716.156069823331,5950.308079652251,7640.429535277371,2.8575806889272315e-06,3.740078585547079e-10,-0.0219679325819015,-7.526336528811518e-10,-19.632408142089844,-3.763167705988306e-10
110.0,6776478.674190111,520724.7735030834,656991.1557584554,6828136.999961119,6776478.674190259,520724.7736990475,656991.1560057007,6828136.999999999,0.00031548724246186497,4.6204000075256984e-11,-938.0561840713376,4709.931184882182,5942.454229480237,7640.429532445653,-938.0561840660088,4709.931186654914,5942.454231716869,7640.429535277371,2.853967776703817e-06,3.735349908701448e-10,-0.0219679437577724,-7.526340357727373e-10,-19.63241577148437,-3.76316916840142e-10
120.0,6766674.07881546,567790.5034519252,716373.3282402527,6828136.999953739,6766674.078815669,567790.5036656045,716373.328509849,6828137.000000001,0.0003440073653600455,5.0380852838782446e-11,-1022.8424306328466,4703.116588137905,5933.856348183114,7640.429532453911,-1022.8424306259359,4703.116589908201,5933.856350416673,7640.4295352773715,2.8500492979388994e-06,3.7302212981346917e-10,-0.0219679437577724,-7.526340357727373e-10,-19.63241577148437,-3.76316916840142e-10
130.0,6756022.252467333,614785.1423898262,775665.8061889326,6828136.999945723,6756022.25246762,614785.1426211955,775665.8064808481,6828137.000000001,0.00037248688921493644,5.455175975744722e-11,-1107.500610765237,4695.713131046714,5924.515510031268,7640.429532462881,-1107.5006107564623,4695.713132814387,5924.515512261517,7640.429535277371,2.845831435757395e-06,3.7247008464872687e-10,-0.0219679400324821,-7.52633908142209e-10,-19.63241577148437,-3.76316916840142e-10
140.0,6744524.528822672,661702.8062867247,834861.1658061519,6828136.9999370705,6744524.528823056,661702.8065357569,834861.1661203526,6828137.0,0.0004009229511364551,5.871630155289138e-11,-1192.020124721666,4687.7217405688925,5914.4328845575055,7640.4295324725645,-1192.020124710721,4687.721742333763,5914.43288678422,7640.429535277371,2.8413279195699286e-06,3.7188065231816577e-10,-0.0219679363071918,-7.526337805116804e-10,-19.63241577148437,-3.76316916840142e-10
150.0,6732182.34747018,708537.6207503276,893951.9954534052,6828136.999927781,6732182.347470686,708537.6210169938,893951.9957898546,6828137.0,0.0004293125629684534,6.287404060118497e-11,-1276.3903901171825,4679.143417277752,5903.609734171166,7640.429532482958,-1276.3903901037404,4679.1434190396485,5903.609736394128,7640.429535277371,2.8365512102681528e-06,3.7125546373685357e-10,-0.0219679400324821,-7.52633908142209e-10,-19.63241577148437,-3.76316916840142e-10
160.0,6718997.253730082,755283.7217616218,952930.8965800093,6828136.999917858,6718997.253730736,755283.7220458915,952930.8969386686,6828137.0,0.00045765290418800893,6.70245638287587e-11,-1360.6008432537126,4669.979235234352,5892.047414000052,7640.429532494063,-1360.6008432374242,4669.979236993111,5892.047416219054,7640.429535277371,2.831513107420237e-06,3.7059606326405895e-10,-0.0219679251313209,-7.526333976200948e-10,-19.632408142089844,-3.763167705988306e-10
170.0,6704970.898460635,801935.256409087,1011790.4846494492,6828136.999907302,6704970.898461468,801935.2567109279,1011790.4850302777,6828137.000000001,0.00048594136050366055,7.116748836522473e-11,-1444.6409404427015,4660.230341853027,5879.74737172076,7640.429532505876,-1444.6409404231965,4660.230343608491,5879.7473739356055,7640.4295352773715,2.8262294845467686e-06,3.6990452846891774e-10,-0.0219679288566112,-7.526335252506233e-10,-19.63241577148437,-3.76316916840142e-10
180.0,6690105.037851432,848486.383621518,1070523.3900639692,6828136.999896114,6690105.037852478,848486.3839408966,1070523.3904669248,6828137.000000001,0.0005141759963483627,7.530253074130801e-11,-1528.5001593252507,4649.8979577577165,5866.711147377425,7640.429532518394,-1528.500159302138,4649.897959509738,5866.711149587927,7640.429535277371,2.8207151558369367e-06,3.691827982724189e-10,-0.0219679288566112,-7.526335252506233e-10,-19.63241577148437,-3.76316916840142e-10
190.0,6674401.533203519,894931.2748993642,1129122.2590872946,6828136.999884293,6674401.533204815,894931.2752362451,1129122.2595123327,6828136.999999999,0.0005423540058612648,7.942928003074116e-11,-1612.1680001895847,4638.983376629139,5852.940373188895,7640.429532531619,-1612.1680001624525,4638.9833783775775,5852.940375394877,7640.42953527737,2.814983518525606e-06,3.684326261407519e-10,-0.0219679363071918,-7.526337805116804e-10,-19.63241577148437,-3.76316916840142e-10
200.0,6657862.350696343,941264.1150444944,1187579.7547653653,6828136.999871845,6657862.350697933,941264.1153988413,1187579.7552124402,6828137.0,0.0005704736881623013,8.354748713482189e-11,-1695.6339872856825,4627.48796504281,5838.436773344367,7640.429532545548,-1695.6339872540993,4627.4879667875375,5838.436775545667,7640.429535277371,2.809055516864392e-06,3.676567533139895e-10,-0.0219679363071918,-7.526337805116804e-10,-19.63241577148437,-3.76316916840142e-10
210.0,6640489.561141576,987479.1028882982,1245888.5578449708,6828136.9998587705,6640489.561143505,987479.1032600731,1245888.5583140345,6828137.000000001,0.0005985323662034498,8.765675999228628e-11,-1778.8876701369086,4615.413162297946,5823.202163787507,7640.429532560178,-1778.8876701004226,4615.413164038842,5823.202165983973,7640.429535277371,2.8029476067588284e-06,3.6685733358537844e-10,-0.0219679363071918,-7.526337805116804e-10,-19.63241577148437,-3.76316916840142e-10
220.0,6622285.339723836,1033570.452018028,1304041.367690167,6828136.99984507,6622285.339726157,1033570.4524071922,1304041.3681811704,6828137.000000001,0.0006265290109738143,9.175694790157466e-11,-1861.91862484848,4602.760480237246,5807.238451989082,7640.429532575509,-1861.91862480662,4602.760481974202,5807.238454180577,7640.429535277371,2.7966796014069323e-06,3.660369601596495e-10,-0.0219679288566112,-7.526335252506233e-10,-19.63241577148437,-3.76316916840142e-10
230.0,6603251.965728341,1079532.3915012958,1362030.9031963618,6828136.999830744,6603251.965731109,1079532.3919078095,1362030.903709255,6828136.999999999,0.0006544618789234254,9.584779551485647e-11,-1944.7164554126025,4589.531503057608,5790.547636708136,7640.429532591539,-1944.7164553648797,4589.531504790524,5790.5476388945335,7640.429535277371,2.7902705425542504e-06,3.651981252717561e-10,-0.0219679437577724,-7.526340357727373e-10,-19.63241577148437,-3.76316916840142e-10
240.0,6583391.822255527,1125359.1666086316,1419849.9037019582,6828136.999815797,6583391.822258803,1125359.167032454,1419849.9042366894,6828137.0,0.0006823294989803292,9.992908738947817e-11,-2027.2707950101208,4575.727887111769,5773.1318077417245,7640.429532608264,-2027.2707949560283,4575.727888840559,5773.131809922917,7640.429535277371,2.7837457588795356e-06,3.6434414400740587e-10,-0.0219679363071918,-7.526337805116804e-10,-19.63241577148437,-3.76316916840142e-10
250.0,6562707.395922667,1171045.039534011,1477491.1298974336,6828136.999800229,6562707.395926518,1171045.0399751002,1477491.13045395,6828137.0,0.0007101303740206056,1.0400060426740202e-10,-2109.5713073085094,4561.3513607009245,5754.993145663269,7640.429532625683,-2109.571307247521,4561.351362425513,5754.99314783916,7640.429535277371,2.777125237481226e-06,3.634776323318854e-10,-0.0219679325819015,-7.526336528811518e-10,-19.63241577148437,-3.76316916840142e-10
260.0,6541201.276552535,1216584.2901132656,1534947.3647317484,6828136.999784044,6541201.276557032,1216584.2905715795,1534947.365309997,6828137.0,0.0007378640133615053,1.0806227428674986e-10,-2191.6076877560454,4546.403723858333,5736.133921549528,7640.429532643796,-2191.607687687619,4546.403725578655,5736.133923720036,7640.42953527737,2.7704323918397197e-06,3.626016546645823e-10,-0.0219679325819015,-7.526336528811518e-10,-19.632408142089844,-3.763167705988306e-10
270.0,6518876.156849137,1261971.2165402856,1592211.4143159674,6828136.999767242,6518876.156854358,1261971.217015781,1592211.4149158937,6828137.0,0.0007655290341641066,1.1211389492684558e-10,-2273.3696648720083,4530.88684812394,5716.556496696245,7640.429532662598,-2273.3696647955853,4530.886849839945,5716.556498861307,7640.429535277371,2.76369488748488e-06,3.6171983194457267e-10,-0.0219679251313209,-7.526333976200948e-10,-19.632408142089844,-3.763167705988306e-10
