time_s,hx,hy,hz,h_mag,dH_abs,dH_rel
0.0,0.0,-40885208974.96306,32405217325.240784,52169899586.08781,0.0,0.0
10.0,0.0,-40885196233.42802,32405207226.424564,52169883327.77289,-16258.314918518066,-3.1164167551615693e-07
20.0,2.384185791015625e-07,-40885183401.11652,32405197055.659817,52169866953.62637,-32632.461433410645,-6.255036274233653e-07
30.0,5.960464477539063e-06,-40885170565.19348,32405186882.03248,52169850574.87144,-49011.216369628906,-9.394539142011071e-07
40.0,6.67572021484375e-06,-40885157727.79296,32405176707.23412,52169834194.23122,-65391.856590270996,-1.253440338376827e-06
50.0,7.390975952148437e-06,-40885144889.5819,32405166531.79336,52169817812.55677,-81773.53103637695,-1.5674465867322384e-06
60.0,5.4836273193359375e-06,-40885132050.85743,32405156355.94572,52169801430.22723,-98155.86058044434,-1.8814653920978534e-06
70.0,1.0967254638671877e-05,-40885119211.7775,32405146179.81628,52169785047.44407,-114538.64373779297,-2.1954928923868794e-06
80.0,8.106231689453125e-06,-40885106372.43657,32405136003.48004,52169768664.32793,-130921.75988006592,-2.509526775377941e-06
90.0,5.7220458984375e-06,-40885093532.8952,32405125826.98501,52169752280.95605,-147305.13175964355,-2.8235655603777614e-06
100.0,8.58306884765625e-06,-40885080693.19524,32405115650.36416,52169735897.38175,-163688.7060546875,-3.1376082253058144e-06
110.0,1.8596649169921875e-05,-40885067853.3661,32405105473.64092,52169719513.64261,-180072.44519805908,-3.4516540500698826e-06
120.0,2.193450927734375e-05,-40885055013.42982,32405095296.832848,52169703129.76681,-196456.3209991455,-3.765702494308321e-06
130.0,4.291534423828125e-06,-40885042173.402885,32405085119.952995,52169686745.77538,-212840.31242370605,-4.079753154833834e-06
140.0,1.9550323486328125e-05,-40885029333.29831,32405074943.011364,52169670361.68473,-229224.40307617188,-4.393805717373843e-06
150.0,4.0531158447265625e-05,-40885016493.12628,32405064766.016384,52169653977.50808,-245608.57972717285,-4.707859928345914e-06
160.0,7.2479248046875e-05,-40885003652.8949,32405054588.974285,52169637593.25564,-261992.8321685791,-5.021915592079172e-06
170.0,7.62939453125e-05,-40884990812.61103,32405044411.89061,52169621208.93625,-278377.15155792236,-5.335972539079938e-06
180.0,8.296966552734375e-05,-40884977972.28016,32405034234.76973,52169604824.55692,-294761.53088378906,-5.650030634952446e-06
190.0,7.2479248046875e-05,-40884965131.90694,32405024057.61541,52169588440.12361,-311145.96419525146,-5.964089765628474e-06
200.0,9.822845458984376e-05,-40884952291.49553,32405013880.430687,52169572055.64151,-327530.4462966919,-6.278149831517689e-06
210.0,0.0001401901245117,-40884939451.04927,32405003703.218307,52169555671.11491,-343914.9729003906,-6.5922107504324726e-06
220.0,0.0001087188720703,-40884926610.57072,32404993525.98048,52169539286.54719,-360299.5406188965,-6.906272457441683e-06
230.0,0.0001029968261718,-40884913770.06271,32404983348.719143,52169522901.94179,-376684.14601898193,-7.220334886736731e-06
240.0,0.0001249313354492,-40884900929.52752,32404973171.436123,52169506517.301605,-393068.78620147705,-7.5343979827459174e-06
250.0,0.0001535415649414,-40884888088.96666,32404962994.132973,52169490132.628815,-409453.4589920044,-7.84846170379047e-06
260.0,0.0001754760742187,-40884875248.381935,32404952816.810905,52169473747.92557,-425838.1622390747,-8.162526008630335e-06
270.0,0.0001640319824218,-40884862407.77501,32404942639.4713,52169457363.19402,-442222.89378356934,-8.476590855879226e-06
280.0,0.0001554489135742,-40884849567.14697,32404932462.115005,52169440978.43557,-458607.6522369385,-8.790656218921222e-06
290.0,0.0001897811889648,-40884836726.49919,32404922284.742912,52169424593.65183,-474992.4359741211,-9.104722066606925e-06
300.0,0.0002679824829101,-40884823885.83273,32404912107.35601,52169408208.84427,-491377.24353790283,-9.418788371004242e-06
310.0,0.0002927780151367,-40884811045.14855,32404901929.95516,52169391824.01414,-507762.0736694336,-9.732855107983358e-06
320.0,0.0002574920654296,-40884798204.44743,32404891752.54088,52169375439.16239,-524146.92541503906,-1.004692225926411e-05
330.0,0.0002336502075195,-40884785363.73021,32404881575.11381,52169359054.290085,-540531.7977218628,-1.0360989804665196e-05
340.0,0.000253677368164,-40884772522.99757,32404871397.674515,52169342669.398094,-556916.6897125244,-1.0675057727368865e-05
350.0,0.0002651214599609,-40884759682.25019,32404861220.2236,52169326284.48734,-573301.6004638672,-1.098912600967992e-05
360.0,0.0002708435058593,-40884746841.48851,32404851042.76138,52169309899.55836,-589686.5294494629,-1.1303194641507708e-05
370.0,0.0001773834228515,-40884734000.71339,32404840865.28855,52169293514.61225,-606071.4755554199,-1.1617263601501e-05
380.0,0.0001735687255859,-40884721159.92496,32404830687.80505,52169277129.649086,-622456.4387207031,-1.1931332888489863e-05
390.0,0.0001564025878906,-40884708319.12396,32404820510.31156,52169260744.66988,-638841.4179229736,-1.2245402482877962e-05
400.0,0.0001564025878906,-40884695478.31057,32404810332.808304,52169244359.67487,-655226.4129333496,-1.255947238027806e-05
410.0,0.0001850128173828,-40884682637.485306,32404800155.295464,52169227974.66461,-671611.4231948853,-1.2873542570014538e-05
420.0,0.0001850128173828,-40884669796.64832,32404789977.77351,52169211589.63951,-687996.4482955933,-1.3187613044190369e-05
430.0,0.0001373291015625,-40884656955.80005,32404779800.24272,52169195204.60008,-704381.4877243042,-1.350168379300738e-05
440.0,0.0001182556152343,-40884644114.94095,32404769622.7032,52169178819.54674,-720766.5410690308,-1.3815754808568546e-05
450.0,0.0001697540283203,-40884631274.07124,32404759445.155228,52169162434.47983,-737151.6079788208,-1.4129826084146761e-05
460.0,0.0001754760742187,-40884618433.1909,32404749267.59897,52169146049.39944,-753536.688369751,-1.4443897618133375e-05
470.0,0.0001506805419921,-40884605592.30058,32404739090.034748,52169129664.30629,-769921.7815170288,-1.475796939663546e-05
480.0,0.0001373291015625,-40884592751.40016,32404728912.462555,52169113279.20026,-786306.887550354,-1.5072041422139121e-05
490.0,0.000131607055664,-40884579910.4901,32404718734.88264,52169096894.08189,-802692.0059204102,-1.5386113684114983e-05
500.0,0.0001659393310546,-40884567069.57044,32404708557.29509,52169080508.95125,-819077.1365585327,-1.570018618124687e-05
510.0,0.0001468658447265,-40884554228.64114,32404698379.70002,52169064123.80839,-835462.2794189453,-1.6014258912657342e-05
520.0,0.0001239776611328,-40884541387.7028,32404688202.09774,52169047738.65396,-851847.43384552,-1.6328331865769644e-05
530.0,4.1961669921875e-05,-40884528546.75516,32404678024.48812,52169031353.487686,-868232.6001205444,-1.6642405045994698e-05
540.0,7.05718994140625e-05,-40884515705.79871,32404667846.871468,52169014968.310135,-884617.777671814,-1.6956478442364413e-05
550.0,4.57763671875e-05,-40884502864.83333,32404657669.247795,52168998583.12122,-901002.966583252,-1.727055205648744e-05
560.0,5.7220458984375e-06,-40884490023.8594,32404647491.61722,52168982197.92133,-917388.1664733887,-1.758462588105171e-05
570.0,9.5367431640625e-06,-40884477182.87677,32404637313.979862,52168965812.71041,-933773.3773956299,-1.789869991708092e-05
580.0,8.0108642578125e-05,-40884464341.88572,32404627136.335632,52168949427.48862,-950158.5991897583,-1.8212774161504e-05
590.0,2.288818359375e-05,-40884451500.88627,32404616958.68486,52168933042.25617,-966543.8316345215,-1.852684861007995e-05
600.0,9.5367431640625e-06,-40884438659.87836,32404606781.02745,52168916657.01298,-982929.0748291016,-1.884092326470991e-05
610.0,-2.288818359375e-05,-40884425818.86231,32404596603.363503,52168900271.75934,-999314.3284683228,-1.915499811954422e-05
620.0,-0.0001811981201171,-40884412977.83792,32404586425.69304,52168883886.49513,-1015699.5926742554,-1.946907317692275e-05
630.0,-0.0002021789550781,-40884400136.80559,32404576248.016228,52168867501.22074,-1032084.8670654297,-1.9783148429533428e-05
640.0,-0.00018310546875,-40884387295.76508,32404566070.332943,52168851115.935936,-1048470.1518707275,-2.0097223881763498e-05
650.0,-0.0002269744873046,-40884374454.71681,32404555892.643536,52168834730.64124,-1064855.4465637207,-2.041129952352231e-05
660.0,-0.0002803802490234,-40884361613.66043,32404545714.947662,52168818345.33617,-1081240.7516403198,-2.0725375364315543e-05
670.0,-0.0003185272216796,-40884348772.59636,32404535537.24569,52168801960.02128,-1097626.0665283203,-2.1039451393175103e-05
680.0,-0.0003280639648437,-40884335931.5242,32404525359.53728,52168785574.69606,-1114011.391746521,-2.13535276200454e-05
690.0,-0.0004100799560546,-40884323090.444336,32404515181.82284,52168769189.361046,-1130396.7267608643,-2.166760403468954e-05
700.0,-0.0004482269287109,-40884310249.356674,32404505004.102093,52168752804.016014,-1146782.0717926025,-2.198168064134852e-05
710.0,-0.00054931640625,-40884297408.26108,32404494826.3751,52168736418.66088,-1163167.4269256592,-2.2295757441630998e-05
720.0,-0.0005779266357421,-40884284567.157776,32404484648.642075,52168720033.29596,-1179552.791847229,-2.2609834429541078e-05
730.0,-0.0005168914794921,-40884271726.046844,32404474470.90291,52168703647.92125,-1195938.166557312,-2.2923911605078764e-05
740.0,-0.0005912780761718,-40884258884.92817,32404464293.15772,52168687262.53673,-1212323.5510787964,-2.3237988968682773e-05
750.0,-0.00054931640625,-40884246043.80171,32404454115.40634,52168670877.14226,-1228708.9455490112,-2.355206652298545e-05
760.0,-0.0005455017089843,-40884233202.66754,32404443937.648785,52168654491.73791,-1245094.349899292,-2.386614426667063e-05
770.0,-0.0006465911865234,-40884220361.52573,32404433759.8851,52168638106.32377,-1261479.764038086,-2.418022219798341e-05
780.0,-0.0006217956542968,-40884207520.376175,32404423582.115414,52168621720.89983,-1277865.1879730225,-2.4494300317070037e-05
790.0,-0.0006484985351562,-40884194679.218864,32404413404.339493,52168605335.465935,-1294250.6218719482,-2.4808378627147813e-05
800.0,-0.0006294250488281,-40884181838.054,32404403226.557663,52168588950.02246,-1310636.0653457642,-2.5122457120758436e-05
810.0,-0.0006561279296875,-40884168996.8812,32404393048.769485,52168572564.56881,-1327021.5189971924,-2.5436535809454966e-05
820.0,-0.0007209777832031,-40884156155.700806,32404382870.975315,52168556179.1055,-1343406.982307434,-2.5750614683293e-05
830.0,-0.0006923675537109,-40884143314.512535,32404372693.17489,52168539793.632126,-1359792.4556808472,-2.6064693750023323e-05
