time_s,energy_Jkg,dE_rel
0.0,-29188081.763737317,0.0
10.0,-29188099.95618484,-6.232834234115277e-07
20.0,-29188118.278247885,-1.2510075471051178e-06
30.0,-29188136.60547191,-1.878908488728816e-06
40.0,-29188154.934809804,-2.506881852764288e-06
50.0,-29188173.265309315,-3.134895014423495e-06
60.0,-29188191.59654618,-3.762933438248449e-06
70.0,-29188209.928294964,-4.390989400677724e-06
80.0,-29188228.26042071,-5.019058278040168e-06
90.0,-29188246.592836987,-5.647137109179891e-06
100.0,-29188264.925484154,-6.275223850732133e-06
110.0,-29188283.25832016,-6.9033170618758604e-06
120.0,-29188301.591313507,-7.5314156638778465e-06
130.0,-29188319.924440667,-8.159518850240781e-06
140.0,-29188338.257683314,-8.787625993277728e-06
150.0,-29188356.59102666,-9.415736586295488e-06
160.0,-29188374.924459312,-1.0043850238999904e-05
170.0,-29188393.25797141,-1.067196661355297e-05
180.0,-29188411.59155514,-1.1300085442313466e-05
190.0,-29188429.92520384,-1.1928206496822744e-05
200.0,-29188448.258911747,-1.2556329580019276e-05
210.0,-29188466.5926741,-1.3184454528408348e-05
220.0,-29188484.92648712,-1.3812581212700236e-05
230.0,-29188503.260347016,-1.4440709503094694e-05
240.0,-29188521.594250597,-1.5068839289957097e-05
250.0,-29188539.92819542,-1.5696970490072342e-05
260.0,-29188558.26217917,-1.6325103023543717e-05
270.0,-29188576.596199434,-1.695323680830479e-05
280.0,-29188594.93025472,-1.75813717926652e-05
290.0,-29188613.26434324,-1.8209507915745183e-05
300.0,-29188631.598463427,-1.8837645123939925e-05
310.0,-29188649.93261389,-1.9465783369260337e-05
320.0,-29188668.26679365,-2.0093922618139597e-05
330.0,-29188686.60100154,-2.072206283101223e-05
340.0,-29188704.93523664,-2.1350203976098247e-05
350.0,-29188723.269497994,-2.19783460205966e-05
360.0,-29188741.603785034,-2.260648894510744e-05
370.0,-29188759.93809661,-2.3234632710192945e-05
380.0,-29188778.27243268,-2.3862777314449176e-05
390.0,-29188796.60679217,-2.449092272124617e-05
400.0,-29188814.941174865,-2.5119068922926087e-05
410.0,-29188833.27558023,-2.5747215901365405e-05
420.0,-29188851.61000788,-2.6375363643162912e-05
430.0,-29188869.94445726,-2.7003512129556924e-05
440.0,-29188888.278928,-2.7631661347656757e-05
450.0,-29188906.613419782,-2.8259811286996697e-05
460.0,-29188924.94793257,-2.8887961945789933e-05
470.0,-29188943.28246564,-2.9516113299148505e-05
480.0,-29188961.617019184,-3.014426535434735e-05
490.0,-29188979.951592684,-3.0772418093135304e-05
500.0,-29188998.286186136,-3.140057151551237e-05
510.0,-29189016.620799556,-3.202872562186144e-05
520.0,-29189034.95543229,-3.265688039010243e-05
530.0,-29189053.290084727,-3.328503583338128e-05
540.0,-29189071.624756303,-3.391319193242578e-05
550.0,-29189089.959447213,-3.454134869361747e-05
560.0,-29189108.294157118,-3.5169506105597225e-05
570.0,-29189126.62888613,-3.579766417244922e-05
580.0,-29189144.963634185,-3.642582289162085e-05
590.0,-29189163.298401084,-3.705398225634768e-05
600.0,-29189181.633187085,-3.768214227556387e-05
610.0,-29189199.967991862,-3.831030293816555e-05
620.0,-29189218.30281574,-3.893846425487369e-05
630.0,-29189236.63765829,-3.956662621164893e-05
640.0,-29189254.972519923,-4.019478882189247e-05
650.0,-29189273.307400104,-4.082295206773605e-05
660.0,-29189291.642299496,-4.145111597177026e-05
670.0,-29189309.977217577,-4.207928051612684e-05
680.0,-29189328.312155005,-4.2707445723268735e-05
690.0,-29189346.647111274,-4.333561157596586e-05
700.0,-29189364.98208676,-4.396377808698124e-05
710.0,-29189383.31708163,-4.4591945262185895e-05
720.0,-29189401.652095657,-4.5220113093666726e-05
730.0,-29189419.987128947,-4.584828158512501e-05
740.0,-29189438.3221816,-4.64764507400068e-05
750.0,-29189456.657253917,-4.710462056839488e-05
760.0,-29189474.992345896,-4.773279107067214e-05
770.0,-29189493.327457555,-4.836096224709386e-05
780.0,-29189511.662589032,-4.898913410250999e-05
790.0,-29189529.997740574,-4.9617306645471774e-05
800.0,-29189548.332911924,-5.024547986678982e-05
810.0,-29189566.66810381,-5.08736537918626e-05
820.0,-29189585.003315814,-5.150182840614024e-05
830.0,-29189603.338548463,-5.213000372774625e-05
840.0,-29189621.67380188,-5.275817976076484e-05
850.0,-29189640.009075727,-5.33863564939645e-05
860.0,-29189658.34437085,-5.401453395593448e-05
870.0,-29189676.679686885,-5.464271213442225e-05
880.0,-29189695.015024185,-5.527089104142508e-05
890.0,-29189713.350382987,-5.589907068511131e-05
900.0,-29189731.68576345,-5.6527251070969065e-05
910.0,-29189750.02116604,-5.71554322146969e-05
920.0,-29189768.356590346,-5.778361410263834e-05
930.0,-29189786.692036804,-5.841179674947091e-05
940.0,-29189805.027505707,-5.9039980165277415e-05
950.0,-29189823.36299721,-5.966816435541833e-05
960.0,-29189841.698511656,-6.029634933150804e-05
970.0,-29189860.03404931,-6.092453510273594e-05
980.0,-29189878.369610123,-6.155272166744284e-05
990.0,-29189896.70519492,-6.218090905383507e-05
1000.0,-29189915.04080355,-6.280909725680744e-05
1010.0,-29189933.3764362,-6.343728628261381e-05
1020.0,-29189951.712093256,-6.406547614465542e-05
1030.0,-29189970.04777482,-6.469366684637826e-05
1040.0,-29189988.38348153,-6.532185840960717e-05
1050.0,-29190006.719213437,-6.595005083587371e-05
1060.0,-29190025.05497117,-6.657824414713034e-05
1070.0,-29190043.390754912,-6.720643834963095e-05
1080.0,-29190061.72656504,-6.783463345588333e-05
1090.0,-29190080.06240173,-6.846282947239663e-05
1100.0,-29190098.398265906,-6.909102643044036e-05
1110.0,-29190116.734157827,-6.971922433907625e-05
1120.0,-29190135.07007777,-7.034742320774898e-05
1130.0,-29190153.40602609,-7.09756230488387e-05
1140.0,-29190171.742003795,-7.160382389629514e-05
1150.0,-29190190.07801125,-7.223202576326424e-05
1160.0,-29190208.414049026,-7.286022866876295e-05
1170.0,-29190226.750117708,-7.34884326334674e-05
1180.0,-29190245.086218428,-7.411663769566679e-05
1190.0,-29190263.422351863,-7.474484387871746e-05
1200.0,-29190281.75851891,-7.537305121325077e-05
1210.0,-29190300.09472053,-7.600125973257828e-05
1220.0,-29190318.43095805,-7.662946948162591e-05
1230.0,-29190336.76723294,-7.725768051080776e-05
1240.0,-29190355.10354658,-7.788589286772999e-05
1250.0,-29190373.43990057,-7.851410660701847e-05
1260.0,-29190391.776297443,-7.914232181571722e-05
1270.0,-29190410.112739783,-7.977053858201895e-05
1280.0,-29190428.44923095,-8.0398757021174e-05
1290.0,-29190446.785774447,-8.10269772531551e-05
1300.0,-29190465.12237535,-8.165519945192263e-05
1310.0,-29190483.4590404,-8.228342384836024e-05
1320.0,-29190501.7957774,-8.291165070985387e-05
1330.0,-29190520.132598914,-8.353988046690129e-05
1340.0,-29190538.46952135,-8.416811368158736e-05
1350.0,-29190556.80656995,-8.479635121860892e-05
1360.0,-29190575.143785823,-8.542459448662407e-05
1370.0,-29190593.48124204,-8.60528459888504e-05
1380.0,-29190611.81908999,-8.668111091219259e-05
1390.0,-29190630.157738373,-8.730940325874061e-05
1400.0,-29190648.499395896,-8.793779870012426e-05
1410.0,-29190666.83608092,-8.856602378091676e-05
1420.0,-29190685.16987082,-8.919414967313359e-05
1430.0,-29190703.50507574,-8.982232404478559e-05
1440.0,-29190721.84076727,-9.04505150879201e-05
1450.0,-29190740.17671961,-9.107871506634028e-05
1460.0,-29190758.5128415,-9.170692085399158e-05
1470.0,-29190776.849087108,-9.233513088012509e-05
1480.0,-29190795.185430195,-9.296334424596664e-05
1490.0,-29190813.52185432,-9.359156038815507e-05
1500.0,-29190831.858348828,-9.421977894179472e-05
1510.0,-29190850.19490635,-9.484799965430476e-05
1520.0,-29190868.531520378,-9.547622230271464e-05
1530.0,-29190886.86818728,-9.610444676271226e-05
1540.0,-29190905.204904143,-9.673267293436288e-05
1550.0,-29190923.541668463,-9.736090073177115e-05
1560.0,-29190941.87847818,-9.798913008461272e-05
1570.0,-29190960.215332117,-9.8617360952301e-05
1580.0,-29190978.55222883,-9.92455932858259e-05
1590.0,-29190996.889167376,-9.987382705238636e-05
1600.0,-29191015.2261471,-0.0001005020622297
1610.0,-29191033.563167017,-0.0001011302987841
1620.0,-29191051.900226776,-0.0001017585367035
1630.0,-29191070.23732589,-0.0001023867759713
1640.0,-29191088.574464045,-0.0001030150165766
1650.0,-29191106.911641017,-0.0001036432585118
1660.0,-29191125.248856623,-0.0001042715017707
1670.0,-29191143.58611059,-0.0001048997463436
1680.0,-29191161.92340271,-0.000105527992224
1690.0,-29191180.26073305,-0.0001061562394136
1700.0,-29191198.59810116,-0.0001067844878973
1710.0,-29191216.935507283,-0.0001074127376833
1720.0,-29191235.272951197,-0.000108040988764
1730.0,-29191253.6104329,-0.0001086692411396
1740.0,-29191271.9479526,-0.0001092974948169
1750.0,-29191290.28551036,-0.0001099257497979
1760.0,-29191308.623106144,-0.000110554006082
1770.0,-29191326.960739613,-0.000111182263657
1780.0,-29191345.298411243,-0.0001118105225395
1790.0,-29191363.636120465,-0.0001124387827098
1800.0,-29191381.973868325,-0.000113067044204
1810.0,-29191400.31165408,-0.0001136953069963
1820.0,-29191418.64947808,-0.0001143235710991
1830.0,-29191436.98734024,-0.0001149518365092
1840.0,-29191455.32524085,-0.0001155801032368
1850.0,-29191473.663179938,-0.0001162083712824
1860.0,-29191492.00115739,-0.0001168366406426
1870.0,-29191510.33917363,-0.0001174649113315
1880.0,-29191528.67722851,-0.0001180931833444
1890.0,-29191547.015322097,-0.0001187214566833
1900.0,-29191565.35345473,-0.0001193497313602
1910.0,-29191583.69162641,-0.0001199780073745
1920.0,-29191602.02983701,-0.0001206062847223
1930.0,-29191620.368086662,-0.0001212345634082
1940.0,-29191638.70637577,-0.0001218628434457
1950.0,-29191657.044703897,-0.0001224911248201
1960.0,-29191675.383071564,-0.0001231194075492
1970.0,-29191693.72147881,-0.0001237476916344
1980.0,-29191712.059925497,-0.0001243759770706
1990.0,-29191730.39841192,-0.0001250042638683
2000.0,-29191748.73693804,-0.000125632552026
2010.0,-29191767.075504035,-0.00012626084155
2020.0,-29191785.41410993,-0.0001268891324411
2030.0,-29191803.752755675,-0.0001275174246971
