time_s,hx,hy,hz,h_mag,dH_abs,dH_rel
0.0,0.0,-40885208974.96306,32405217325.240784,52169899586.087814,0.0,0.0
10.0,0.0,-40885196234.7253,32405207227.45278,52169883329.42824,-16256.659576416016,-3.11609945685063e-07
20.0,-3.5762786865234375e-07,-40885183409.02472,32405197061.92773,52169866963.717285,-32622.370529174805,-6.253102035464572e-07
30.0,9.5367431640625e-07,-40885170582.33763,32405186895.620975,52169850596.74766,-48989.340156555176,-9.390345878606828e-07
40.0,-2.1457672119140625e-06,-40885157754.19831,32405176728.163,52169834227.92484,-65358.16297149658,-1.2527944943356896e-06
50.0,-1.3589859008789062e-05,-40885144928.64535,32405166562.75503,52169817862.40231,-81723.68550109863,-1.566491140475416e-06
60.0,-1.6927719116210938e-05,-40885132104.522804,32405156398.480824,52169801498.70502,-98087.38279724121,-1.8801528002825263e-06
70.0,-9.059906005859375e-06,-40885119282.28117,32405146235.697227,52169785137.40767,-114448.68014526367,-2.1937684575452735e-06
80.0,-6.198883056640625e-06,-40885106458.97639,32405136072.071182,52169768774.753845,-130811.33396911621,-2.507410115928223e-06
90.0,-1.9073486328125e-06,-40885093633.68909,32405125906.873592,52169752409.57018,-147176.51763153076,-2.8211002666138624e-06
100.0,7.152557373046875e-06,-40885080805.60754,32405115739.461304,52169736040.82103,-163545.26678466797,-3.1348587611290074e-06
110.0,-4.76837158203125e-07,-40885067970.71293,32405105566.649296,52169719663.3785,-179922.70931243896,-3.4487838914763616e-06
120.0,0.0,-40885055145.54053,32405095401.54286,52169703298.3415,-196287.74631500244,-3.762471230965272e-06
130.0,1.2874603271484375e-05,-40885042313.41209,32405085230.923145,52169686924.428535,-212661.65927886963,-4.076328706133455e-06
140.0,1.1444091796875e-05,-40885029491.50708,32405075068.406536,52169670563.560844,-229022.52696990967,-4.38993612767051e-06
150.0,-2.86102294921875e-06,-40885016665.49817,32405064902.63721,52169654197.45653,-245388.6312866211,-4.703643925587678e-06
160.0,2.86102294921875e-06,-40885003838.33426,32405054735.952377,52169637829.87837,-261756.20944213867,-5.017379974255143e-06
170.0,1.430511474609375e-05,-40884991014.607475,32405044571.991833,52169621466.686066,-278119.4017486572,-5.331031954349852e-06
180.0,3.814697265625e-06,-40884978186.12024,32405034404.25813,52169605097.41933,-294488.6684875488,-5.6448003700218035e-06
190.0,6.67572021484375e-06,-40884965348.68124,32405024229.4294,52169588716.730095,-310869.3577194214,-5.958787733651708e-06
200.0,5.054473876953125e-05,-40884952525.953415,32405014066.26042,52169572354.81235,-327231.27546691895,-6.2724152828191745e-06
210.0,2.384185791015625e-05,-40884939692.60892,32405003894.67701,52169555979.34776,-343606.74005126953,-6.5863024996678234e-06
220.0,-1.1444091796875e-05,-40884926862.53382,32404993725.68486,52169539608.054955,-359978.03285980225,-6.900109751328673e-06
230.0,-5.91278076171875e-05,-40884914036.962616,32404983560.26252,52169523242.50919,-376343.57862091064,-7.213806842773193e-06
240.0,-4.100799560546875e-05,-40884901204.7872,32404973389.605457,52169506868.53622,-392717.5515975952,-7.527665468275532e-06
250.0,-3.814697265625e-05,-40884888381.23899,32404963225.786392,52169490505.57174,-409080.5160751343,-7.8413130813122e-06
260.0,-6.67572021484375e-05,-40884875542.88978,32404953050.236176,52169474123.72102,-425462.3667907715,-8.15532270842687e-06
270.0,-4.76837158203125e-05,-40884862704.41451,32404942874.58605,52169457741.70947,-441844.3783416748,-8.469335418454625e-06
280.0,-1.33514404296875e-05,-40884849868.25909,32404932700.774555,52169441362.65801,-458223.4298019409,-8.783291389047176e-06
290.0,-4.291534423828125e-05,-40884837044.03063,32404922536.41648,52169424998.82563,-474587.26218414307,-9.096955638202945e-06
300.0,-1.9073486328125e-05,-40884824216.68493,32404912369.5876,52169408631.015526,-490955.0722885132,-9.41069613289876e-06
310.0,-6.389617919921875e-05,-40884811392.06506,32404902204.919228,52169392266.683655,-507319.4041595459,-9.724369956326945e-06
320.0,-6.866455078125e-05,-40884798566.381935,32404892039.408115,52169375900.99503,-523685.0927810669,-1.0038069786140021e-05
330.0,-0.000125885009765625,-40884785733.34442,32404881868.068,52169359525.922165,-540060.1656494141,-1.0351949494521019e-05
340.0,-0.00012969970703125,-40884772900.6109,32404871696.96884,52169343151.2372,-556434.8506164551,-1.066582176755502e-05
350.0,-0.0001506805419921875,-40884760063.733,32404861522.584885,52169326771.26397,-572814.8238449097,-1.0979795406730333e-05
360.0,-0.000164031982421875,-40884747238.92997,32404851357.77132,52169310406.69836,-589179.3894577026,-1.1293473710553577e-05
370.0,-0.000179290771484375,-40884734400.30645,32404841182.003815,52169294024.4977,-605561.5901107788,-1.1607490045318476e-05
380.0,-0.0002307891845703125,-40884721565.42154,32404831009.199364,52169277647.06747,-621939.0203475952,-1.1921414940071077e-05
390.0,-0.00025177001953125,-40884708738.8989,32404820843.02284,52169261280.307625,-638305.7801895142,-1.2235135303187964e-05
400.0,-0.0002536773681640625,-40884695911.70292,32404810676.31254,52169244912.688515,-654673.3992996216,-1.2548872136878787e-05
410.0,-0.0002307891845703125,-40884683085.20746,32404800510.157475,52169228545.96329,-671040.1245269775,-1.2862591836498844e-05
420.0,-0.0002918243408203125,-40884670246.3517,32404790334.206055,52169212163.4664,-687422.6214141846,-1.3176613849521383e-05
430.0,-0.000240325927734375,-40884657412.88816,32404780162.528107,52169195787.84981,-703798.2380065918,-1.349050398008192e-05
440.0,-0.0002422332763671875,-40884644582.081085,32404769992.955654,52169179415.622894,-720170.464920044,-1.3804329136797732e-05
450.0,-0.0002918243408203125,-40884631755.79849,32404759826.969383,52169163049.169334,-736536.9184799194,-1.4118043629057172e-05
460.0,-0.000278472900390625,-40884618933.03793,32404749663.774635,52169146687.20992,-752898.8778915405,-1.443167197684844e-05
470.0,-0.0003757476806640625,-40884606107.07569,32404739498.04226,52169130321.16513,-769264.9226837158,-1.4745378633790898e-05
480.0,-0.000370025634765625,-40884593277.02562,32404729329.069996,52169113949.90428,-785636.1835327148,-1.5059185272846894e-05
490.0,-0.0004100799560546875,-40884580450.34274,32404719162.76638,52169097582.93991,-802003.1479034424,-1.5372909556400857e-05
500.0,-0.0004634857177734375,-40884567623.55028,32404708996.375977,52169081215.83574,-818370.2520751953,-1.5686636519680607e-05
510.0,-0.0005035400390625,-40884554797.27003,32404698830.391518,52169064849.38515,-834736.7026672363,-1.6000350955052176e-05
520.0,-0.0005435943603515625,-40884541968.53291,32404688662.45977,52169048479.79957,-851106.2882461548,-1.6314125482294775e-05
530.0,-0.0004634857177734375,-40884529133.33402,32404678489.406315,52169032101.968605,-867484.1192092896,-1.6628058058226017e-05
540.0,-0.0004901885986328125,-40884516307.25918,32404668323.584686,52169015735.78012,-883850.3076934814,-1.6941767469477332e-05
550.0,-0.0004405975341796875,-40884503477.777756,32404658155.063046,52168999365.24483,-900220.8429870605,-1.7255560200984613e-05
560.0,-0.0004177093505859375,-40884490649.029945,32404647987.12285,52168982995.64562,-916590.4421920776,-1.7569334989414193e-05
570.0,-0.0004863739013671875,-40884477815.076836,32404637815.057007,52168966619.40442,-932966.6833953857,-1.788323709260465e-05
580.0,-0.0004291534423828125,-40884464986.04672,32404627646.893085,52168950249.44501,-949336.6428070068,-1.8197018785525268e-05
590.0,-0.000469207763671875,-40884452154.815315,32404617476.98432,52168933876.67665,-965709.4111633301,-1.8510854320694467e-05
600.0,-0.0005340576171875,-40884439330.24301,32404607312.35359,52168917512.40542,-982073.6823959351,-1.882452698179671e-05
610.0,-0.0005474090576171875,-40884426502.81862,32404597145.462322,52168901144.49491,-998441.5929031372,-1.913826940102818e-05
620.0,-0.00060272216796875,-40884413676.320526,32404586979.305283,52168884777.766396,-1014808.3214187622,-1.9451989163678244e-05
630.0,-0.000640869140625,-40884400853.74944,32404576816.260666,52168868416.04873,-1031170.0390853882,-1.976561287766732e-05
640.0,-0.000553131103515625,-40884388020.72905,32404566644.933838,52168852040.99753,-1047545.0902862549,-2.0079492170722992e-05
650.0,-0.00054931640625,-40884375198.56348,32404556482.21053,52168835679.79723,-1063906.2905807495,-2.0393105967650015e-05
660.0,-0.00054931640625,-40884362369.12447,32404546313.722565,52168819309.3161,-1080276.7717132568,-2.070689766099023e-05
670.0,-0.000530242919921875,-40884349540.1646,32404536145.614258,52168802939.44627,-1096646.6415405273,-2.1020677636745364e-05
680.0,-0.0006103515625,-40884336707.10657,32404525974.257828,52168786564.34719,-1113021.7406234741,-2.1334557847611508e-05
690.0,-0.0006198883056640625,-40884323868.23439,32404515798.29309,52168770181.829155,-1129404.2586593628,-2.1648580266014963e-05
700.0,-0.0006008148193359375,-40884311033.73166,32404505625.791435,52168753804.88651,-1145781.2013015747,-2.1962495814485352e-05
710.0,-0.0005092620849609375,-40884298204.66131,32404495457.595554,52168737434.87571,-1162151.2121047974,-2.227627849248744e-05
720.0,-0.0005054473876953125,-40884285366.048035,32404485281.83606,52168721052.68807,-1178533.3997421265,-2.2590294577764663e-05
730.0,-0.000514984130859375,-40884272527.43826,32404475106.079414,52168704670.50494,-1194915.5828781128,-2.290431057675951e-05
740.0,-0.00054931640625,-40884259688.77039,32404464930.27664,52168688288.24762,-1211297.8401947021,-2.3218327997658632e-05
750.0,-0.000553131103515625,-40884246850.63246,32404454754.893913,52168671906.66653,-1227679.4212875366,-2.3532332456605357e-05
760.0,-0.00060272216796875,-40884234027.98567,32404444591.78931,52168655544.852264,-1244041.2355499268,-2.3845958022155675e-05
770.0,-0.000606536865234375,-40884221198.77141,32404434423.479313,52168639174.6578,-1260411.430015564,-2.415974422062485e-05
780.0,-0.0006561279296875,-40884208367.901245,32404424253.856964,52168622802.35046,-1276783.7373580933,-2.447357091901657e-05
790.0,-0.0006465911865234375,-40884195541.512024,32404414087.7862,52168606435.76085,-1293150.326965332,-2.4787288019051075e-05
800.0,-0.000682830810546875,-40884182703.30537,32404403912.348988,52168590054.09205,-1309531.995765686,-2.5101294159187913e-05
810.0,-0.0006694793701171875,-40884169880.63109,32404393749.222656,52168573692.24275,-1325893.8450622559,-2.5414920396278334e-05
820.0,-0.000762939453125,-40884157049.49557,32404383579.389984,52168557319.5968,-1342266.4910125732,-2.5728753585151934e-05
830.0,-0.000766754150390625,-40884144223.2457,32404373413.429672,52168540953.18501,-1358632.9028015137,-2.6042467276740192e-05
840.0,-0.0007476806640625,-40884131399.87782,32404363249.75354,52168524590.450645,-1374995.6371688843,-2.6356110478992667e-05
850.0,-0.000705718994140625,-40884118570.79495,32404353081.547737,52168508220.42387,-1391365.663948059,-2.666989346322406e-05
860.0,-0.00075531005859375,-40884105732.72914,32404342906.22207,52168491838.93474,-1407747.1530761719,-2.6983896159378018e-05
870.0,-0.00067901611328125,-40884092908.554825,32404332741.906822,52168475475.17137,-1424110.916442871,-2.7297559085634887e-05
880.0,-0.00072479248046875,-40884080085.30371,32404322578.32318,52168459112.58596,-1440473.5018539429,-2.7611199432671997e-05
890.0,-0.0007476806640625,-40884067253.769264,32404312408.174355,52168442739.43099,-1456846.6568222046,-2.792504237847341e-05
900.0,-0.0008029937744140625,-40884054429.18428,32404302243.53347,52168426375.14353,-1473210.9442825317,-2.823871535063092e-05
910.0,-0.0007781982421875,-40884041600.060905,32404292075.29562,52168410005.06511,-1489581.0227050781,-2.8552499324769754e-05
920.0,-0.0007915496826171875,-40884028762.24583,32404281900.16885,52168393623.89602,-1505962.1917953491,-2.8866495886393178e-05
930.0,-0.0008182525634765625,-40884015938.9535,32404271736.552544,52168377261.25801,-1522324.8298034668,-2.918013724161789e-05
940.0,-0.0007762908935546875,-40884003107.80197,32404261566.707207,52168360888.59165,-1538697.4961624146,-2.9493970821686998e-05
950.0,-0.0007991790771484375,-40883990280.74484,32404251400.10699,52168344521.14974,-1555064.9380722046,-2.9807704258777124e-05
960.0,-0.0008068084716796875,-40883977456.8355,32404241236.00167,52168328157.72444,-1571428.3633728027,-3.012136070493524e-05
970.0,-0.0007839202880859375,-40883964634.05389,32404231072.790398,52168311795.73826,-1587790.3495559692,-3.043498956588727e-05
980.0,-0.0008258819580078125,-40883951806.94472,32404220906.148773,52168295428.22985,-1604157.857963562,-3.0748724277616666e-05
990.0,-0.0008640289306640625,-40883938979.94457,32404210739.593693,52168279060.860634,-1620525.227180481,-3.106245632131957e-05
1000.0,-0.0008869171142578125,-40883926152.12664,32404200572.39053,52168262692.447975,-1636893.6398391724,-3.137620836586168e-05
1010.0,-0.0008716583251953125,-40883913325.96599,32404190406.50099,52168246326.15007,-1653259.9377441406,-3.1689919874505887e-05
1020.0,-0.0008392333984375,-40883900500.41721,32404180241.096363,52168229960.63289,-1669625.454925537,-3.200361641813045e-05
1030.0,-0.0008945465087890625,-40883887660.89649,32404170064.61751,52168213577.287254,-1686008.8005599976,-3.231765470006016e-05
1040.0,-0.0009250640869140625,-40883874827.482056,32404159892.978428,52168197201.733284,-1702384.3545303345,-3.263154363027202e-05
1050.0,-0.0009250640869140625,-40883861993.61617,32404149720.981728,52168180825.603386,-1718760.4844284058,-3.2945443599947984e-05
1060.0,-0.0009403228759765625,-40883849161.404686,32404139550.29616,52168164451.58444,-1735134.5033721924,-3.325930310655423e-05
1070.0,-0.00095367431640625,-40883836335.96959,32404129384.981518,52168148086.21224,-1751499.8755722046,-3.357299687115515e-05
1080.0,-0.0009708404541015625,-40883823496.72805,32404119208.72399,52168131703.22288,-1767882.8649368286,-3.388702832405434e-05
1090.0,-0.0009717941284179688,-40883810661.71314,32404109035.816437,52168115325.626724,-1784260.461090088,-3.420095639911674e-05
1100.0,-0.0009355545043945312,-40883797832.13077,32404098867.214935,52168098954.96271,-1800631.1251068115,-3.451475159800743e-05
1110.0,-0.0009613037109375,-40883785008.73844,32404088703.51939,52168082592.197105,-1816993.8907089233,-3.482839539897183e-05
1120.0,-0.0010328292846679688,-40883772171.838615,32404078529.117767,52168066212.195724,-1833373.8920898438,-3.5142369577777585e-05
1130.0,-0.001049041748046875,-40883759346.978485,32404068364.258705,52168049847.5571,-1849738.5307159424,-3.5456049281130176e-05
1140.0,-0.0010366439819335938,-40883746517.35836,32404058195.627045,52168033476.844765,-1866109.2430496216,-3.576984540616709e-05
1150.0,-0.00102996826171875,-40883733678.030304,32404048019.301003,52168017093.74503,-1882492.342781067,-3.608387897459309e-05
1160.0,-0.0010118484497070312,-40883720842.836174,32404037846.251484,52168000715.92025,-1898870.167564392,-3.639781143206887e-05
1170.0,-0.001026153564453125,-40883708013.770645,32404027678.059338,52167984345.91555,-1915240.1722640991,-3.671159399307791e-05
1180.0,-0.0009899139404296875,-40883695190.22135,32404017514.239464,52167967982.949715,-1931603.1380996704,-3.702524163214553e-05
1190.0,-0.0009851455688476562,-40883682359.536964,32404007344.76438,52167951610.87943,-1947975.2083816528,-3.733906378652722e-05
1200.0,-0.0009641647338867188,-40883669532.15382,32403997177.905888,52167935243.0216,-1964343.0662155151,-3.765280519610867e-05
1210.0,-0.0009660720825195312,-40883656705.03018,32403987011.253002,52167918875.49486,-1980710.592956543,-3.796654025925594e-05
1220.0,-0.0009918212890625,-40883643875.67828,32403976842.83401,52167902505.124825,-1997080.9629898071,-3.828032982303018e-05
1230.0,-0.001026153564453125,-40883631050.70405,32403966677.88461,52167886140.340675,-2013445.747138977,-3.8594012315789546e-05
1240.0,-0.0010080337524414062,-40883618210.94196,32403956501.21464,52167869756.68717,-2029829.400642395,-3.8908056498994896e-05
1250.0,-0.0010347366333007812,-40883605377.11377,32403946329.247612,52167853380.60525,-2046205.4825668335,-3.9221955549105495e-05
1260.0,-0.0010600090026855469,-40883592543.46481,32403936157.422634,52167837004.752014,-2062581.335800171,-3.953585021563279e-05
1270.0,-0.0010600090026855469,-40883579708.353836,32403925984.438965,52167820627.033295,-2078959.0545196533,-3.984978064006186e-05
1280.0,-0.0010714530944824219,-40883566878.7034,32403915815.783188,52167804256.28222,-2095329.805595398,-4.016357750771215e-05
1290.0,-0.0010557174682617188,-40883554039.40349,32403905639.479595,52167787873.2185,-2111712.869316101,-4.047761038587916e-05
1300.0,-0.0010309219360351562,-40883541199.40037,32403895462.618618,52167771489.257454,-2128096.8303604126,-4.079166046407177e-05
1310.0,-0.0010471343994140625,-40883528365.66259,32403885290.72317,52167755113.29085,-2144472.7969665527,-4.1105557303744955e-05
1320.0,-0.0010352134704589844,-40883515530.11008,32403875117.389824,52167738735.00889,-2160851.0789260864,-4.1419498524438837e-05
1330.0,-0.0010285377502441406,-40883502701.11247,32403864949.251675,52167722365.090965,-2177220.99684906,-4.1733279422099196e-05
1340.0,-0.0010349750518798828,-40883489875.37321,32403854783.695934,52167705999.330635,-2193586.7571792603,-4.204698062643436e-05
1350.0,-0.001041412353515625,-40883477035.90873,32403844607.261616,52167689616.05674,-2209970.031074524,-4.2361017533257015e-05
1360.0,-0.001055002212524414,-40883464196.45098,32403834430.832607,52167673232.79142,-2226353.296394348,-4.267505427570444e-05
1370.0,-0.0010548830032348633,-40883451355.99258,32403824253.610638,52167656848.24934,-2242737.8384780884,-4.2989115491342846e-05
1380.0,-0.0010509490966796875,-40883438521.883446,32403814081.42108,52167640471.80902,-2259114.278793335,-4.330302141113905e-05
1390.0,-0.001053929328918457,-40883425681.7678,32403803904.470837,52167624087.704346,-2275498.383468628,-4.361707424247059e-05
1400.0,-0.001055881381034851,-40883412844.253296,32403793729.582146,52167607706.91869,-2291879.1691207886,-4.393106345429819e-05
1410.0,-0.001056373119354248,-40883400021.30146,32403783566.23599,52167591344.71533,-2308241.3724823,-4.424469647815539e-05
1420.0,-0.0010572075843811035,-40883387189.700264,32403773396.034264,52167574971.4752,-2324614.6126174927,-4.455854105644856e-05
1430.0,-0.001056075096130371,-40883374365.60618,32403763231.782417,52167558607.814095,-2340978.2737197876,-4.487220202248689e-05
1440.0,-0.001052260398864746,-40883361531.770454,32403753059.809414,52167542231.72255,-2357354.3652648926,-4.518610125700779e-05
1450.0,-0.0010447502136230469,-40883348698.02133,32403742887.90512,52167525855.74156,-2373730.3462524414,-4.549999837234584e-05
1460.0,-0.001049041748046875,-40883335863.2407,32403732715.183365,52167509478.44441,-2390107.6434020996,-4.5813920716065004e-05
1470.0,-0.0010442733764648438,-40883323033.543846,32403722546.49079,52167493107.63411,-2406478.453704834,-4.6127718718986595e-05
1480.0,-0.001041412353515625,-40883310201.35568,32403712375.82382,52167476733.64499,-2422852.4428253174,-4.6441577653935554e-05
1490.0,-0.0010390281677246094,-40883297376.71145,32403702211.13606,52167460369.281975,-2439216.8058395386,-4.675525207432077e-05
1500.0,-0.0010290145874023438,-40883284545.37224,32403692041.141766,52167443996.37601,-2455589.711807251,-4.7069090247244505e-05
1510.0,-0.0010223388671875,-40883271718.724884,32403681874.86629,52167427629.45695,-2471956.6308670044,-4.7382813662271316e-05
1520.0,-0.0010328292846679688,-40883258884.43875,32403671702.536514,52167411252.79082,-2488333.2969970703,-4.769672391051786e-05
1530.0,-0.0010104179382324219,-40883246050.383125,32403661530.389164,52167394876.41865,-2504709.669166565,-4.801062852408667e-05
1540.0,-0.0009875297546386719,-40883233210.42438,32403651353.563137,52167378492.514084,-2521093.5737304688,-4.8324677519654854e-05
1550.0,-0.0009965896606445312,-40883220374.54516,32403641179.97076,52167362113.8152,-2537472.2726135254,-4.863862673199768e-05
1560.0,-0.0010042190551757812,-40883207546.27756,32403631012.411232,52167345744.82878,-2553841.259033203,-4.895238977447137e-05
1570.0,-0.0009860992431640625,-40883194719.68555,32403620846.179626,52167329377.98035,-2570208.1074676514,-4.926611183574236e-05
1580.0,-0.0010080337524414062,-40883181894.23448,32403610680.852394,52167313012.587814,-2586573.5,-4.9579805990076385e-05
1590.0,-0.0010023117065429688,-40883169070.276054,32403600516.70809,52167296649.09982,-2602936.987991333,-4.989346363789936e-05
1600.0,-0.0010004043579101562,-40883156235.70989,32403590344.15627,52167280272.07631,-2619314.011505127,-5.020738073652765e-05
1610.0,-0.0009765625,-40883143402.50969,32403580172.687157,52167263896.79581,-2635689.2920074463,-5.0521264424865934e-05
