time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
0.0,6828137.0,0.0,0.0,0.0,4745.835844424443,5987.75463570269
10.0,6827709.536737396,47457.36809165841,59876.29684303564,-85.49176049065969,4745.538739888631,5987.37978306979
20.0,6826427.200470724,94908.7942165991,119745.0967898604,-170.97281686487224,4744.64746348059,5986.255272105043
30.0,6824290.151756705,142348.33715207665,179598.90388292295,-256.4324663464144,4743.162126793837,5984.38124360443
40.0,6821298.658167537,189770.05716319714,239430.22404187333,-341.8600088393432,4741.082915802046,5981.75793220833
50.0,6817453.094257395,237168.01674661093,299231.56600186985,-427.2447482677162,4738.410090835761,5978.385666372145
60.0,6812753.941515531,284536.2813739264,358995.4422515334,-512.575993914809,4735.1439865498005,5974.264868325175
70.0,6807201.788305992,331868.9202347506,418714.369970432,-597.843061761662,4731.285011881356,5969.396054017746
80.0,6800797.3297939515,379160.0069792651,478380.871965978,-683.0352758247868,4726.833649998791,5963.779833056619
90.0,6793541.36785867,426403.6204602426,537987.4776096201,-768.1419694928685,4721.790458241146,5957.416908628658
100.0,6785434.810993094,473593.8454744128,597526.7237722144,-853.1524868622939,4716.1560680483535,5950.308077412787
110.0,6776478.6741901105,520724.7735030835,656991.1557584555,-938.0561840713391,4709.931184882183,5942.454229480238
120.0,6766674.078815459,567790.5034519254,716373.3282402528,-1022.842430632848,4703.116588137906,5933.856348183115
130.0,6756022.252467332,614785.1423898264,775665.8061889327,-1107.5006107652391,4695.713131046715,5924.515510031269
140.0,6744524.528822671,661702.8062867249,834861.1658061522,-1192.0201247216683,4687.721740568893,5914.432884557506
150.0,6732182.347470179,708537.6207503277,893951.9954534054,-1276.3903901171848,4679.143417277753,5903.609734171167
160.0,6718997.253730081,755283.7217616219,952930.8965800095,-1360.600843253715,4669.979235234353,5892.0474140000515
170.0,6704970.898460634,801935.2564090871,1011790.4846494494,-1444.6409404427038,4660.230341853028,5879.7473717207595
180.0,6690105.037851431,848486.3836215183,1070523.3900639694,-1528.500159325253,4649.897957757717,5866.711147377425
190.0,6674401.533203518,894931.2748993644,1129122.2590872948,-1612.168000189587,4638.9833766291395,5852.940373188895
200.0,6657862.350696341,941264.1150444947,1187579.7547653655,-1695.633987285685,4627.487965042811,5838.436773344367
210.0,6640489.561141574,987479.1028882983,1245888.557844971,-1778.8876701369115,4615.413162297947,5823.202163787507
220.0,6622285.339723834,1033570.4520180281,1304041.3676901672,-1861.9186248484825,4602.760480237247,5807.238451989082
230.0,6603251.965728339,1079532.3915012963,1362030.9031963623,-1944.7164554126055,4589.5315030576085,5790.5476367081355
240.0,6583391.822255525,1125359.166608632,1419849.9037019587,-2027.270795010124,4575.72788711177,5773.1318077417245
250.0,6562707.3959226655,1171045.0395340114,1477491.129897434,-2109.571307308512,4561.351360700925,5754.993145663269
260.0,6541201.276552533,1216584.290113266,1534947.3647317486,-2191.607687756048,4546.403723858334,5736.133921549528
270.0,6518876.156849135,1261971.216540286,1592211.4143159676,-2273.3696648720115,4530.886848123941,5716.556496696245
280.0,6495734.832060571,1307200.136080921,1649276.108823981,-2354.8470015327357,4514.802676310047,5696.263322322498
290.0,6471780.199629049,1352265.3857844959,1706134.303390212,-2436.029496253365,4498.153222258062,5675.256939263798
300.0,6447015.258828109,1397161.323192848,1762778.8790042005,-2516.906984465143,4480.940570586354,5653.53997765395
310.0,6421443.110387092,1441882.3270467995,1819202.7434019484,-2597.4693397880847,4463.166876429243,5631.115156595751
320.0,6395066.956102912,1486422.7979899752,1875398.8319539165,-2677.70647529886,4444.834365167164,5607.985283820537
330.0,6367890.098439166,1530777.159269877,1931360.1085495616,-2757.6083447937444,4425.945332148036,5584.15325533664
340.0,6339915.9401126485,1574939.8574361298,1987079.5664783025,-2837.164944046469,4406.50214239987,5559.622055066786
