time_s,a_m,e_,i_deg,Omega_deg,omega_deg,nu_deg
0.0,6828136.9948609155,7.526333976200949e-10,51.60000000000001,0.0,180.0,180.0
10.0,6828132.739432278,4.6816508731591127e-07,51.599999999999994,0.0,180.32481087608159,180.31630743467247
20.0,6828128.455462134,9.386982724615916e-07,51.60000000000002,360.0,180.64559087931326,180.63664574224308
30.0,6828124.17116688,1.409238184232043e-06,51.59999999999988,0.0,180.9662563034044,180.95709862910692
40.0,6828119.886390895,1.879787186069345e-06,51.59999999999992,360.0,181.28689434734477,181.27757889646605
50.0,6828115.602483166,2.350182392565865e-06,51.59999999999987,360.0,181.6074694563518,181.59812209936518
60.0,6828111.319057588,2.820451484637273e-06,51.59999999999982,360.0,181.92802214470677,181.91868772386442
70.0,6828107.036264582,3.29056324610556e-06,51.59999999999991,360.0,182.24854123228926,182.23928695049696
80.0,6828102.753120862,3.7606109141748687e-06,51.59999999999983,360.0,182.5690884462672,182.55985805258496
90.0,6828098.4693192765,4.230613481393269e-06,51.59999999999995,360.0,182.88967642661183,182.88038839072277
100.0,6828094.184588726,4.700585947256851e-06,51.600000000000065,0.0,183.21031871087845,183.20086442799482
110.0,6828089.897586931,5.1706608482273595e-06,51.59999999999997,360.0,183.53108335638169,183.52121810780204
120.0,6828085.613836785,5.640217702677119e-06,51.600000000000016,0.0,183.85161049060787,183.8418093034494
130.0,6828081.327767586,6.109852617854984e-06,51.600000000000044,0.0,184.17229510317986,184.1622430261792
140.0,6828077.04511748,6.578922012760687e-06,51.59999999999999,0.0,184.49273824425876,184.48291822677092
150.0,6828072.761100959,7.047935571953781e-06,51.59999999999993,360.0,184.81328560796896,184.80348921211595
160.0,6828068.476702967,7.5167706727619325e-06,51.59999999999992,0.0,185.1338616043001,185.1240315733136
170.0,6828064.193457338,7.985244778295054e-06,51.599999999999866,0.0,185.4543578445346,185.44465370024642
180.0,6828059.908625978,8.45364277691762e-06,51.59999999999987,0.0,185.77496961190425,185.76516031092132
190.0,6828055.6208089655,8.922103016659675e-06,51.59999999999984,0.0,186.09577698415072,186.0854713289098
200.0,6828051.337909888,9.389746962858387e-06,51.599999999999966,0.0,186.4162261952597,186.40614052161226
210.0,6828047.051469083,9.857484241742202e-06,51.599999999999866,0.0,186.73692515814986,186.72655997757184
220.0,6828042.766124569,1.0324793683941592e-05,51.59999999999982,360.0,187.05753779334813,187.0470657777957
230.0,6828038.482288678,1.0791615783877015e-05,51.5999999999997,360.0,187.378042431018,187.3676795937287
240.0,6828034.1962511595,1.1258340420602727e-05,51.59999999999984,360.0,187.6987056726503,187.68813482556072
250.0,6828029.913099465,1.1724398693385225e-05,51.59999999999984,360.0,188.01916177441547,188.00879721887614
260.0,6828025.625008395,1.2190628023185888e-05,51.599999999999845,360.0,188.33996782831989,188.32910968349591
270.0,6828021.336879467,1.2656480313524824e-05,51.599999999999866,360.0,188.6607574939555,188.64943856172764
280.0,6828017.049529608,1.3121852166187513e-05,51.59999999999992,360.0,188.98147675366275,188.9698378732037
290.0,6828012.766167691,1.3586380654978519e-05,51.599999999999795,360.0,189.30190639526035,189.29052683214925
300.0,6828008.481768782,1.4050596735134116e-05,51.599999999999746,360.0,189.62241818740173,189.61113367202796
310.0,6828004.198284523,1.4514274272773364e-05,51.59999999999969,360.0,189.94286875487398,189.93180177024053
320.0,6827999.914449312,1.497753589311958e-05,51.59999999999962,360.0,190.26335081758162,190.2524384091416
330.0,6827995.628161889,1.5440594403683918e-05,51.599999999999554,360.0,190.58401008123676,190.57289788535002
340.0,6827991.3419801695,1.5903158509514084e-05,51.59999999999946,360.0,190.90465738143928,190.89336936566673
350.0,6827987.054418372,1.636537421093095e-05,51.59999999999939,360.0,191.22539762116705,191.21374794958567
360.0,6827982.7708937535,1.682664254540768e-05,51.59999999999933,360.0,191.54584330644334,191.53442113362507
370.0,6827978.482757188,1.7287881542780433e-05,51.599999999999234,360.0,191.866620844628,191.85476251303717
380.0,6827974.195873427,1.7748444985089246e-05,51.599999999999255,360.0,192.18729796810416,192.17520435812065
390.0,6827969.911786799,1.8208152572166363e-05,51.59999999999923,360.0,192.50777064269832,192.49585070579857
400.0,6827965.62747934,1.8667314276353168e-05,51.599999999999255,360.0,192.82826398925988,192.81647643804163
410.0,6827961.343409928,1.912586641709937e-05,51.599999999999284,360.0,193.14874510151606,193.1371144640102
420.0,6827957.055216269,1.958426210702635e-05,51.59999999999907,360.0,193.46952284761488,193.45745591851238
