time_s,energy_Jkg,dE_abs,dE_rel
0.0,-29188081.763737313,0.0,0.0
10.0,-29188099.954332568,-18.190595254302025,-6.232199635983498e-07
20.0,-29188118.26695653,-36.503219217062,-1.2506206989735401e-06
30.0,-29188136.580993216,-54.8172559030354,-1.8780698350358625e-06
40.0,-29188154.897107866,-73.133370552212,-2.5055901632792953e-06
50.0,-29188173.20953396,-91.44579664617777,-3.1329841195589697e-06
60.0,-29188191.51992198,-109.75618466734886,-3.7603082503252317e-06
70.0,-29188209.827628914,-128.06389160081744,-4.387540525527836e-06
80.0,-29188228.136858013,-146.37312069907784,-5.014824950947234e-06
90.0,-29188246.448922276,-164.6851849630475,-5.6422065107289465e-06
100.0,-29188264.764980596,-183.0012432821095,-6.26972490907116e-06
110.0,-29188283.09077087,-201.32703355699778,-6.897576729661023e-06
120.0,-29188301.402684197,-219.6389468833804,-7.5249531182366165e-06
130.0,-29188319.724533863,-237.96079654991627,-8.15266993138117e-06
140.0,-29188338.03179076,-256.26805344596505,-8.77988678805016e-06
150.0,-29188356.34491171,-274.58117439597845,-9.407304550486514e-06
160.0,-29188374.659686342,-292.89594902843237,-1.0034778969007837e-05
170.0,-29188392.96955787,-311.20582055673003,-1.0662085404439489e-05
180.0,-29188411.286231015,-329.5224937014282,-1.128962486705174e-05
190.0,-29188429.61569015,-347.8519528359175,-1.1917602384822758e-05
200.0,-29188447.924149197,-366.16041188314557,-1.2544860427863263e-05
210.0,-29188466.24777135,-384.48403403535485,-1.3172637967357968e-05
220.0,-29188484.56673009,-402.80299277603626,-1.380025573576646e-05
230.0,-29188502.87926276,-421.1155254468322,-1.4427653343427922e-05
240.0,-29188521.20122994,-439.4374926276505,-1.5055374182677494e-05
250.0,-29188539.51088377,-457.7471464574337,-1.5682673159636326e-05
260.0,-29188557.841675494,-476.0779381804168,-1.631069633263418e-05
270.0,-29188576.17265208,-494.4089147672057,-1.6938725839169377e-05
280.0,-29188594.5003213,-512.7365839853883,-1.7566642033407004e-05
290.0,-29188612.810965758,-531.0472284443676,-1.819397494987595e-05
300.0,-29188631.126066156,-549.3623288422823,-1.882146052930409e-05
310.0,-29188649.43727956,-567.6735422462225,-1.9448812938145485e-05
320.0,-29188667.7500162,-585.9862788878381,-2.0076217533961265e-05
330.0,-29188686.07325867,-604.3095213547349,-2.0703982065224886e-05
340.0,-29188704.396072272,-622.6323349587619,-2.1331731903406814e-05
350.0,-29188722.724808533,-640.9610712192953,-2.195968465511195e-05
360.0,-29188741.03630939,-659.2725720778108,-2.2587046912307808e-05
370.0,-29188759.367548723,-677.6038114093244,-2.3215085420624174e-05
380.0,-29188777.69345549,-695.9297181777656,-2.384294123234829e-05
390.0,-29188796.00742785,-714.2436905354261,-2.447038816448665e-05
400.0,-29188814.322367214,-732.558629900217,-2.509786822682994e-05
410.0,-29188832.636311937,-750.8725746236742,-2.5725314212205037e-05
420.0,-29188850.967910394,-769.2041730806231,-2.63533650243596e-05
430.0,-29188869.291815706,-787.528078392148,-2.698115226505077e-05
440.0,-29188887.611933794,-805.8481964804232,-2.7608809753356003e-05
450.0,-29188905.925597515,-824.1618602015078,-2.8236246111432712e-05
460.0,-29188924.234238297,-842.4705009832978,-2.8863510380800914e-05
470.0,-29188942.547456503,-860.783719189465,-2.9490931475287474e-05
480.0,-29188960.866517417,-879.1027801036835,-3.0118552744218467e-05
490.0,-29188979.18077681,-897.4170394949615,-3.074600951028904e-05
500.0,-29188997.495198835,-915.7314615212381,-3.137347184832559e-05
510.0,-29189015.8088958,-934.0451584868133,-3.2000909345377134e-05
520.0,-29189034.1261071,-952.362369786948,-3.2628467245495516e-05
530.0,-29189052.452551246,-970.68881393224,-3.325634146805099e-05
540.0,-29189070.76597423,-989.0022369176149,-3.388376957838769e-05
550.0,-29189089.084267803,-1007.3205304890871,-3.451136455772718e-05
560.0,-29189107.401520602,-1025.6377832889557,-3.513892387964965e-05
570.0,-29189125.726212427,-1043.9624751135707,-3.5766738066719025e-05
580.0,-29189144.0438819,-1062.2801445871592,-3.6394311664116096e-05
590.0,-29189162.36470148,-1080.600964166224,-3.702199318588798e-05
600.0,-29189180.67601993,-1098.9122826159,-3.7649349193655015e-05
610.0,-29189198.991417825,-1117.2276805117726,-3.827684496552952e-05
620.0,-29189217.30550028,-1135.5417629666626,-3.8904295669660514e-05
630.0,-29189235.61398297,-1153.8502456583083,-3.9531554522771984e-05
640.0,-29189253.93739307,-1172.173655755818,-4.0159324797154124e-05
650.0,-29189272.245311685,-1190.481574371457,-4.078656432470624e-05
660.0,-29189290.563623022,-1208.7998857088387,-4.1414159912715726e-05
670.0,-29189308.88125798,-1227.1175206676126,-4.204173232761595e-05
680.0,-29189327.20475218,-1245.441014867276,-4.2669505483384893e-05
690.0,-29189345.53655597,-1263.7728186547756,-4.3297563330278925e-05
700.0,-29189363.862128943,-1282.0983916297555,-4.3925407706052435e-05
710.0,-29189382.17995338,-1300.4162160679698,-4.455298661262422e-05
720.0,-29189400.511411723,-1318.7476744093,-4.518103262433935e-05
730.0,-29189418.8428733,-1337.0791359879076,-4.580907874696541e-05
740.0,-29189437.174426302,-1355.4106889888644,-4.6437128001772264e-05
750.0,-29189455.50523113,-1373.7414938174188,-4.706515162377432e-05
760.0,-29189473.81392568,-1392.0501883663237,-4.769241773523394e-05
770.0,-29189492.13200631,-1410.3682689964771,-4.8320005419084796e-05
780.0,-29189510.452460058,-1428.688722744584,-4.8947674407283536e-05
790.0,-29189528.76652462,-1447.0027873069048,-4.95751244984051e-05
800.0,-29189547.097471718,-1465.3337344042957,-5.020315299461703e-05
810.0,-29189565.406250138,-1483.6425128243864,-5.083042197955037e-05
820.0,-29189583.727119163,-1501.9633818492293,-5.1458105195362255e-05
830.0,-29189602.041021604,-1520.2772842906415,-5.2085549732130856e-05
840.0,-29189620.35081853,-1538.5870812162757,-5.2712853611633546e-05
850.0,-29189638.668785226,-1556.9050479121506,-5.334043739203232e-05
860.0,-29189656.99958798,-1575.2358506657183,-5.3968460942944176e-05
870.0,-29189675.31056552,-1593.5468282066286,-5.4595805270986294e-05
880.0,-29189693.620234933,-1611.856497619301,-5.522310478182363e-05
890.0,-29189711.941741694,-1630.1780043803155,-5.585080984683331e-05
900.0,-29189730.253335968,-1648.4895986542106,-5.6478175304492294e-05
910.0,-29189748.571420647,-1666.8076833337545,-5.710576312707754e-05
920.0,-29189766.90192622,-1685.138188906014,-5.773377649639161e-05
930.0,-29189785.21170611,-1703.4479687958956,-5.83610797922399e-05
940.0,-29189803.532718424,-1721.7689811103046,-5.898876791723243e-05
950.0,-29189821.847895395,-1740.0841580815613,-5.961625612010608e-05
960.0,-29189840.158588752,-1758.3948514387012,-6.0243590711853346e-05
970.0,-29189858.467682797,-1776.7039454840124,-6.087087051028319e-05
980.0,-29189876.782967426,-1795.0192301124334,-6.149836240155149e-05
990.0,-29189895.098107632,-1813.3343703188002,-6.212584934483946e-05
