time_s,r_error_norm_m,v_error_norm_ms,vx_error_ms,vy_error_ms,vz_error_ms,h_error_m2s,energy_error_Jkg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.313794162997217e-10,9.096057172999542e-13,1.4210854715202004e-14,9.094947017729282e-13,0.0,7.62939453125e-06,1.4901161193847656e-08
20.0,9.318908354375375e-10,8.526512829121202e-14,8.526512829121202e-14,0.0,0.0,0.0,1.4901161193847656e-08
30.0,2.7939677238464355e-09,9.112693272687351e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.288818359375e-05,2.2351741790771484e-08
40.0,1.863554421996479e-09,1.2974751610401343e-12,1.7053025658242404e-13,-9.094947017729282e-13,9.094947017729282e-13,2.288818359375e-05,2.2351741790771484e-08
50.0,1.862872509030306e-09,2.5780856209277243e-12,1.7053025658242404e-13,-1.8189894035458565e-12,1.8189894035458565e-12,2.288818359375e-05,7.450580596923828e-09
60.0,1.8662795822463695e-09,2.0368671433935693e-12,1.1368683772161603e-13,-1.8189894035458565e-12,9.094947017729282e-13,7.62939453125e-06,1.1175870895385742e-08
70.0,9.457625454100735e-10,2.8760747774580336e-12,0.0,-2.7284841053187847e-12,9.094947017729282e-13,7.62939453125e-06,1.4901161193847656e-08
80.0,1.8717179995511573e-09,2.033691978340166e-12,0.0,-1.8189894035458565e-12,9.094947017729282e-13,7.62939453125e-06,3.725290298461914e-09
90.0,1.3015628661377063e-10,2.73085155401175e-12,1.1368683772161603e-13,-2.7284841053187847e-12,0.0,7.62939453125e-06,-3.725290298461914e-09
100.0,1.1641532182693481e-10,2.737941617577302e-12,2.2737367544323206e-13,-2.7284841053187847e-12,0.0,7.62939453125e-06,-1.1175870895385742e-08
110.0,2.098707060483278e-10,2.8783208338545963e-12,1.1368683772161603e-13,-2.7284841053187847e-12,9.094947017729282e-13,1.52587890625e-05,-1.1175870895385742e-08
120.0,9.670182902969041e-10,1.8189894035458565e-12,0.0,-1.8189894035458565e-12,0.0,7.62939453125e-06,3.725290298461914e-09
130.0,1.8807470823409397e-09,2.033691978340166e-12,0.0,-1.8189894035458565e-12,9.094947017729282e-13,7.62939453125e-06,3.725290298461914e-09
140.0,9.670182902969041e-10,1.8189894035458565e-12,0.0,-1.8189894035458565e-12,0.0,0.0,3.725290298461914e-09
150.0,1.8699069512319996e-09,9.374856803373542e-13,2.2737367544323206e-13,-9.094947017729282e-13,0.0,0.0,1.1175870895385742e-08
160.0,1.8699069512319996e-09,2.033691978340166e-12,0.0,-1.8189894035458565e-12,-9.094947017729282e-13,7.62939453125e-06,1.1175870895385742e-08
170.0,9.457625454100735e-10,3.6450773090749405e-12,2.2737367544323206e-13,-3.637978807091713e-12,0.0,1.52587890625e-05,-3.725290298461914e-09
180.0,5.206251464550825e-10,3.756829674298002e-12,2.2737367544323206e-13,-3.637978807091713e-12,-9.094947017729282e-13,1.52587890625e-05,-2.60770320892334e-08
190.0,9.670182902969041e-10,2.9118037843694986e-12,4.547473508864641e-13,-2.7284841053187847e-12,-9.094947017729282e-13,7.62939453125e-06,-1.862645149230957e-08
200.0,1.1406325468715177e-09,4.124184931064759e-12,6.821210263296962e-13,-3.637978807091713e-12,-1.8189894035458565e-12,3.0517578125e-05,-2.60770320892334e-08
210.0,9.599853366654507e-10,3.756829674298002e-12,2.2737367544323206e-13,-3.637978807091713e-12,-9.094947017729282e-13,1.52587890625e-05,-1.1175870895385742e-08
220.0,1.0982599495976003e-09,3.6662903532026344e-12,4.547473508864641e-13,-3.637978807091713e-12,0.0,7.62939453125e-06,-3.725290298461914e-09
230.0,1.1406325468715177e-09,4.643101841943948e-12,-2.2737367544323206e-13,-4.547473508864641e-12,9.094947017729282e-13,1.52587890625e-05,-1.862645149230957e-08
240.0,9.878167619740788e-10,5.550898829703193e-12,-4.547473508864641e-13,-5.4569682106375694e-12,-9.094947017729282e-13,2.288818359375e-05,-3.3527612686157227e-08
250.0,1.337510218503426e-09,6.431098710768743e-12,-9.094947017729282e-13,-6.366462912410498e-12,0.0,3.0517578125e-05,-3.3527612686157227e-08
260.0,2.954289675794896e-09,5.475883235154604e-12,-4.547473508864641e-13,-5.4569682106375694e-12,0.0,3.814697265625e-05,-3.3527612686157227e-08
270.0,2.8893523025305143e-09,6.431098710768743e-12,-9.094947017729282e-13,-6.366462912410498e-12,0.0,4.57763671875e-05,-5.587935447692871e-08
280.0,1.9756335239481576e-09,6.431098710768743e-12,-9.094947017729282e-13,-6.366462912410498e-12,0.0,3.814697265625e-05,-3.3527612686157227e-08
290.0,2.0430806063562917e-09,7.458411103860602e-12,-1.3642420526593924e-12,-7.275957614183426e-12,9.094947017729282e-13,3.814697265625e-05,-2.60770320892334e-08
300.0,3.0357401842263756e-09,7.554830392944564e-12,-9.094947017729282e-13,-7.275957614183426e-12,1.8189894035458565e-12,3.0517578125e-05,-3.3527612686157227e-08
310.0,2.3744159907068985e-09,7.059577317822925e-12,-1.3642420526593924e-12,-6.366462912410498e-12,2.7284841053187847e-12,2.288818359375e-05,-1.862645149230957e-08
320.0,2.9816870751943665e-09,7.554830392944564e-12,-9.094947017729282e-13,-7.275957614183426e-12,1.8189894035458565e-12,3.814697265625e-05,-3.3527612686157227e-08
330.0,1.891525090820147e-09,8.285891071085916e-12,-9.094947017729282e-13,-8.185452315956354e-12,9.094947017729282e-13,2.288818359375e-05,-3.3527612686157227e-08
340.0,1.4908435375971833e-09,8.285891071085916e-12,-9.094947017729282e-13,-8.185452315956354e-12,9.094947017729282e-13,3.814697265625e-05,-4.0978193283081055e-08
350.0,1.5618754393652476e-09,7.332580706405269e-12,0.0,-7.275957614183426e-12,9.094947017729282e-13,1.52587890625e-05,-1.1175870895385742e-08
360.0,1.757832811044238e-09,8.385126836667848e-12,0.0,-8.185452315956354e-12,1.8189894035458565e-12,2.288818359375e-05,-3.725290298461914e-09
