time_s,x_num_m,y_num_m,z_num_m,r_num_m,x_ana_m,y_ana_m,z_ana_m,r_ana_m,r_error_norm_m,r_error_rel,vx_num_ms,vy_num_ms,vz_num_ms,v_num_ms,vx_ana_ms,vy_ana_ms,vz_ana_ms,v_ana_ms,v_error_norm_ms,v_error_rel,energy_error_Jkg,energy_error_rel,|h|_error_m2s,|h|_error_rel
0.0,6828137.0,0.0,0.0,6828137.0,6828137.0,0.0,0.0,6828137.0,0.0,0.0,0.0,4745.835844424443,5987.75463570269,7640.42953240215,0.0,4745.835844424443,5987.75463570269,7640.42953240215,0.0,0.0,0.0,0.0,0.0,0.0
10.0,6827709.536737719,47457.36809165916,59876.29684303656,6828137.000000001,6827709.536737718,47457.368091659155,59876.29684303655,6828137.0,9.313794162997217e-10,1.3640315305620286e-16,-85.49176042631295,4745.538739888857,5987.379783070073,7640.4295324021505,-85.49176042631296,4745.538739888856,5987.379783070073,7640.4295324021505,9.096057172999542e-13,1.1905164669635715e-16,1.4901161193847656e-08,5.105221143648701e-16,1.52587890625e-05,2.924826228066782e-16
20.0,6826427.200472012,94908.79421660503,119745.09678986792,6828137.000000001,6826427.200472011,94908.79421660502,119745.0967898679,6828137.0,9.318908354375375e-10,1.3647805183720502e-16,-170.9728167361706,4744.647463481485,5986.255272106173,7640.4295324021505,-170.9728167361707,4744.647463481485,5986.255272106173,7640.4295324021505,8.526512829121202e-14,1.1159729689229222e-17,1.4901161193847656e-08,5.105221143648701e-16,1.52587890625e-05,2.924826228066782e-16
30.0,6824290.151759603,142348.3371520967,179598.90388294833,6828137.000000002,6824290.1517596,142348.3371520967,179598.90388294833,6828136.999999999,2.7939677238464355e-09,4.091844852917327e-16,-256.4324661533419,4743.162126795851,5984.381243606971,7640.4295324021505,-256.432466153342,4743.162126795851,5984.38124360697,7640.42953240215,9.112693272687351e-13,1.192693844507237e-16,2.2351741790771484e-08,7.657831715473051e-16,2.288818359375e-05,4.387239342100173e-16
40.0,6821298.658172688,189770.05716324475,239430.22404193357,6828137.000000003,6821298.658172687,189770.05716324475,239430.2240419335,6828137.000000001,1.863554421996479e-09,2.729228224326019e-16,-341.86000858187566,4741.082915805628,5981.7579322128495,7640.42953240215,-341.86000858187583,4741.0829158056285,5981.757932212849,7640.4295324021505,1.2974751610401343e-12,1.6981704438705925e-16,2.9802322387695312e-08,1.0210442287297402e-15,2.288818359375e-05,4.387239342100173e-16
50.0,6817453.094265442,237168.0167467041,299231.5660019875,6828137.000000001,6817453.0942654405,237168.01674670412,299231.5660019875,6828136.999999999,1.862872509030306e-09,2.7282295434762167e-16,-427.2447479458218,4738.41009084136,5978.385666379212,7640.42953240215,-427.244747945822,4738.410090841362,5978.38566637921,7640.42953240215,2.5780856209277243e-12,3.374267912549119e-16,7.450580596923828e-09,2.55261057182435e-16,1.52587890625e-05,2.924826228066782e-16
60.0,6812753.94152712,284536.2813740875,358995.4422517369,6828137.000000002,6812753.941527118,284536.2813740875,358995.44225173676,6828137.0,1.8662795822463695e-09,2.733219298684794e-16,-512.5759935284481,4735.1439865578695,5974.264868335357,7640.429532402149,-512.5759935284482,4735.143986557871,5974.264868335356,7640.429532402149,2.0368671433935693e-12,2.665906589093531e-16,1.1175870895385742e-08,3.8289158577365256e-16,7.62939453125e-06,1.462413114033391e-16
70.0,6807201.788321767,331868.92023500666,418714.36997075536,6828137.000000002,6807201.788321766,331868.9202350068,418714.36997075524,6828137.000000001,9.457625454100735e-10,1.3850960304546808e-16,-597.8430613107869,4731.28501189235,5969.39605403162,7640.42953240215,-597.8430613107869,4731.2850118923525,5969.396054031619,7640.4295324021505,2.8760747774580336e-12,3.764284148241854e-16,3.725290298461914e-09,1.276305285912175e-16,7.62939453125e-06,1.462413114033391e-16
80.0,6800797.329814558,379160.0069796476,478380.87196646095,6828137.000000001,6800797.329814556,379160.0069796477,478380.8719664608,6828136.999999999,1.8717179995511573e-09,2.741184014836196e-16,-683.0352753093421,4726.833650013166,5963.77983307476,7640.429532402149,-683.0352753093421,4726.833650013168,5963.779833074759,7640.42953240215,2.033691978340166e-12,2.6617508475348424e-16,3.725290298461914e-09,1.276305285912175e-16,7.62939453125e-06,1.462413114033391e-16
90.0,6793541.367884752,426403.6204607878,537987.4776103082,6828137.0,6793541.367884752,426403.62046078785,537987.4776103081,6828137.0,1.3015628661377063e-10,1.9061756759387023e-17,-768.1419689127916,4721.790458259362,5957.416908651646,7640.429532402149,-768.1419689127918,4721.790458259365,5957.416908651646,7640.42953240215,2.73085155401175e-12,3.5742120811801673e-16,-3.725290298461914e-09,-1.276305285912175e-16,-7.62939453125e-06,-1.462413114033391e-16
