time_s,hx,hy,hz,h_mag,dH_abs,dH_rel
0.0,0.0,-40885208974.96306,32405217325.240784,52169899586.08781,0.0,0.0
10.0,-2.384185791015625e-07,-40885208974.96333,32405217325.24092,52169899586.08811,0.00030517578125,5.849652456133565e-15
20.0,2.5033950805664062e-06,-40885208974.96368,32405217325.241,52169899586.08843,0.0006256103515625,1.1991787535073808e-14
30.0,6.556510925292969e-06,-40885208974.96368,32405217325.24057,52169899586.08817,0.0003662109375,7.019582947360278e-15
40.0,2.002716064453125e-05,-40885208974.96483,32405217325.241238,52169899586.08948,0.00167083740234375,3.202684719733127e-14
50.0,5.984306335449219e-05,-40885208974.965126,32405217325.24047,52169899586.08924,0.001434326171875,2.7493366543827756e-14
60.0,3.0517578125e-05,-40885208974.96498,32405217325.240948,52169899586.089424,0.001617431640625,3.1003158017507897e-14
70.0,3.337860107421875e-06,-40885208974.96483,32405217325.241272,52169899586.0895,0.0016937255859375,3.246557113154129e-14
80.0,-7.152557373046875e-06,-40885208974.96444,32405217325.24147,52169899586.08932,0.0015106201171875,2.895577965786115e-14
90.0,-5.245208740234375e-06,-40885208974.964485,32405217325.24154,52169899586.0894,0.00159454345703125,3.0564434083297875e-14
100.0,-5.340576171875e-05,-40885208974.96454,32405217325.24184,52169899586.08963,0.00182342529296875,3.495167342539805e-14
110.0,-1.621246337890625e-05,-40885208974.9643,32405217325.241417,52169899586.08918,0.001373291015625,2.6323436052601042e-14
120.0,-5.292892456054688e-05,-40885208974.96358,32405217325.241272,52169899586.08853,0.00072479248046875,1.3892924583317217e-14
130.0,6.67572021484375e-06,-40885208974.96356,32405217325.240807,52169899586.08822,0.0004119873046875,7.897030815780313e-15
140.0,-4.291534423828125e-06,-40885208974.96374,32405217325.24104,52169899586.08851,0.000701904296875,1.34542006491072e-14
150.0,6.151199340820312e-05,-40885208974.96372,32405217325.24063,52169899586.08824,0.00043487548828125,8.33575474999033e-15
160.0,7.343292236328125e-05,-40885208974.9634,32405217325.240486,52169899586.0879,9.1552734375e-05,1.7548957368400695e-15
170.0,-5.91278076171875e-05,-40885208974.96329,32405217325.24156,52169899586.08848,0.00067138671875,1.2869235403493843e-14
