time_s,energy_Jkg,dE_rel
0.0,-29188081.763737317,0.0
10.0,-29188081.76373698,1.1486747555918956e-14
20.0,-29188081.76373662,2.3739278282232513e-14
30.0,-29188081.763736915,1.3656466538703648e-14
40.0,-29188081.76373545,6.381526419954977e-14
50.0,-29188081.763735723,5.4498235626415497e-14
60.0,-29188081.76373551,6.177317574516417e-14
70.0,-29188081.76373542,6.483630842674256e-14
80.0,-29188081.763735622,5.781662936479208e-14
90.0,-29188081.76373553,6.113502310316868e-14
100.0,-29188081.76373528,6.981389903430744e-14
110.0,-29188081.76373578,5.2583777700429e-14
120.0,-29188081.76373652,2.7312933077407296e-14
130.0,-29188081.76373685,1.569855499308924e-14
140.0,-29188081.76373654,2.6547149907012702e-14
150.0,-29188081.76373684,1.620907710668564e-14
160.0,-29188081.763737213,3.4460242667756872e-15
170.0,-29188081.76373657,2.5526105679819903e-14
180.0,-29188081.763736755,1.9144579259864928e-14
190.0,-29188081.76373701,1.0338072800327062e-14
200.0,-29188081.76373753,-7.274940118748673e-15
210.0,-29188081.76373731,1.276305283990995e-16
220.0,-29188081.763736703,2.0803776129053222e-14
230.0,-29188081.76373684,1.6336707635084743e-14
240.0,-29188081.763736643,2.2973495111837916e-14
250.0,-29188081.76373623,3.714048376413796e-14
260.0,-29188081.763736486,2.8333977304600092e-14
270.0,-29188081.763737075,8.168353817542371e-15
280.0,-29188081.763737395,-2.807871624780189e-15
290.0,-29188081.76373766,-1.1869639141116255e-14
300.0,-29188081.76373741,-3.4460242667756872e-15
310.0,-29188081.76373776,-1.5315663407891944e-14
320.0,-29188081.76373796,-2.2207711941443318e-14
330.0,-29188081.763738222,-3.1269479457779386e-14
340.0,-29188081.7637377,-1.3273574953506351e-14
350.0,-29188081.76373757,-8.806506459537867e-15
360.0,-29188081.763737623,-1.0593333857125261e-14
370.0,-29188081.7637378,-1.6591968691882938e-14
380.0,-29188081.763737697,-1.314594442510725e-14
390.0,-29188081.76373809,-2.6547149907012702e-14
400.0,-29188081.763738666,-4.6329881808873125e-14
410.0,-29188081.763739116,-6.164554521676509e-14
420.0,-29188081.76373901,-5.81995209499894e-14
430.0,-29188081.763738472,-3.9693094332119955e-14
440.0,-29188081.76373819,-2.9993174173788395e-14
450.0,-29188081.763738483,-4.0075985917317256e-14
460.0,-29188081.76373874,-4.8882492376855126e-14
470.0,-29188081.76373964,-7.97690802494372e-14
480.0,-29188081.763739523,-7.568490334066603e-14
490.0,-29188081.76373905,-5.947582623398038e-14
500.0,-29188081.76373928,-6.738891899472454e-14
510.0,-29188081.76373887,-5.33495608708236e-14
520.0,-29188081.76373875,-4.926538396205241e-14
530.0,-29188081.763739,-5.768899883639299e-14
540.0,-29188081.76373934,-6.943100744911014e-14
550.0,-29188081.76373925,-6.649550529593086e-14
560.0,-29188081.763739977,-9.125582780535617e-14
570.0,-29188081.763739564,-7.708883915305612e-14
580.0,-29188081.76373948,-7.415333699987684e-14
590.0,-29188081.76373956,-7.683357809625793e-14
600.0,-29188081.76373947,-7.389807594307862e-14
610.0,-29188081.763739675,-8.09177550050291e-14
620.0,-29188081.763740502,-1.0925173230962921e-13
630.0,-29188081.763740405,-1.059333385712526e-13
640.0,-29188081.763740536,-1.1040040706522109e-13
650.0,-29188081.763740484,-1.0861357966763369e-13
660.0,-29188081.763740294,-1.0210442271927961e-13
