time_s,hx,hy,hz,h_mag,dH_abs,dH_rel
0.0,0.0,-40885208974.96306,32405217325.240784,52169899586.087814,0.0,0.0
10.0,-2.384185791015625e-07,-40885208974.96333,32405217325.240917,52169899586.08811,0.00029754638671875,5.703411144730225e-15
20.0,2.5033950805664062e-06,-40885208974.963684,32405217325.240997,52169899586.08843,0.00061798095703125,1.1845546223670467e-14
30.0,6.556510925292969e-06,-40885208974.963684,32405217325.24057,52169899586.08817,0.00035858154296875,6.873341635956938e-15
40.0,2.002716064453125e-05,-40885208974.96483,32405217325.241234,52169899586.08948,0.0016632080078125,3.188060588592793e-14
50.0,5.984306335449219e-05,-40885208974.965126,32405217325.24047,52169899586.08924,0.00142669677734375,2.7347125232424413e-14
60.0,3.0517578125e-05,-40885208974.96498,32405217325.240948,52169899586.089424,0.00160980224609375,3.085691670610455e-14
70.0,3.337860107421875e-06,-40885208974.96483,32405217325.241272,52169899586.0895,0.00168609619140625,3.231932982013794e-14
80.0,-7.152557373046875e-06,-40885208974.96444,32405217325.24147,52169899586.08932,0.00150299072265625,2.88095383464578e-14
90.0,-5.245208740234375e-06,-40885208974.964485,32405217325.24154,52169899586.0894,0.0015869140625,3.0418192771894535e-14
100.0,-5.340576171875e-05,-40885208974.96454,32405217325.24184,52169899586.08963,0.0018157958984375,3.4805432113994706e-14
110.0,-1.621246337890625e-05,-40885208974.9643,32405217325.241417,52169899586.08918,0.00136566162109375,2.61771947411977e-14
120.0,-5.2928924560546875e-05,-40885208974.96358,32405217325.241272,52169899586.088524,0.00070953369140625,1.3600441960510538e-14
130.0,6.67572021484375e-06,-40885208974.96356,32405217325.240807,52169899586.08822,0.00040435791015625,7.750789504376973e-15
140.0,-4.291534423828125e-06,-40885208974.96374,32405217325.24104,52169899586.08851,0.00069427490234375,1.3307959337703858e-14
150.0,6.151199340820312e-05,-40885208974.96372,32405217325.24063,52169899586.08824,0.00042724609375,8.18951343858699e-15
160.0,7.343292236328125e-05,-40885208974.9634,32405217325.240486,52169899586.0879,8.392333984375e-05,1.6086544254367302e-15
170.0,-5.91278076171875e-05,-40885208974.96329,32405217325.24156,52169899586.08848,0.00066375732421875,1.2722994092090502e-14
180.0,-2.47955322265625e-05,-40885208974.963295,32405217325.24129,52169899586.08832,0.0005035400390625,9.65192655262038e-15
190.0,-9.72747802734375e-05,-40885208974.96307,32405217325.2412,52169899586.08808,0.00026702880859375,5.118445899116869e-15
200.0,-4.76837158203125e-05,-40885208974.96267,32405217325.240967,52169899586.08762,-0.00019073486328125,-3.656032785083478e-15
210.0,-0.0001544952392578125,-40885208974.96263,32405217325.241337,52169899586.087814,0.0,0.0
220.0,-0.00015926361083984375,-40885208974.962975,32405217325.241756,52169899586.08835,0.0005340576171875,1.0236891798233738e-14
230.0,-0.00015354156494140625,-40885208974.96283,32405217325.241753,52169899586.088234,0.00041961669921875,8.04327212718365e-15
240.0,-7.62939453125e-05,-40885208974.963036,32405217325.241764,52169899586.08841,0.0005950927734375,1.140682228946045e-14
250.0,-3.337860107421875e-05,-40885208974.963425,32405217325.241875,52169899586.088776,0.0009613037109375,1.8426405236820727e-14
260.0,1.239776611328125e-05,-40885208974.9633,32405217325.24168,52169899586.08856,0.0007476806640625,1.4331648517527234e-14
270.0,6.67572021484375e-06,-40885208974.96313,32405217325.24104,52169899586.08802,0.00020599365234375,3.948515407890156e-15
280.0,-7.534027099609375e-05,-40885208974.96282,32405217325.24096,52169899586.08774,-7.62939453125e-05,-1.462413114033391e-15
290.0,-6.198883056640625e-05,-40885208974.96272,32405217325.2407,52169899586.087494,-0.0003204345703125,-6.142135078940243e-15
300.0,-8.58306884765625e-06,-40885208974.96295,32405217325.240772,52169899586.08772,-9.1552734375e-05,-1.7548957368400693e-15
310.0,8.106231689453125e-05,-40885208974.96291,32405217325.240322,52169899586.08741,-0.00040435791015625,-7.750789504376973e-15
320.0,0.00018978118896484375,-40885208974.96294,32405217325.24001,52169899586.087234,-0.000579833984375,-1.1114339666653773e-14
330.0,0.0001087188720703125,-40885208974.96264,32405217325.24001,52169899586.087006,-0.0008087158203125,-1.5501579008753945e-14
340.0,-5.91278076171875e-05,-40885208974.96277,32405217325.2406,52169899586.08747,-0.00034332275390625,-6.58085901315026e-15
350.0,7.62939453125e-06,-40885208974.96294,32405217325.24056,52169899586.08758,-0.00023651123046875,-4.533480653503512e-15
360.0,-8.96453857421875e-05,-40885208974.962814,32405217325.240635,52169899586.08753,-0.00028228759765625,-5.410928521923547e-15
370.0,-0.0002803802490234375,-40885208974.96258,32405217325.240704,52169899586.08739,-0.00042724609375,-8.18951343858699e-15
380.0,-0.000263214111328125,-40885208974.962585,32405217325.24084,52169899586.08748,-0.000335693359375,-6.434617701746921e-15
390.0,-0.0003509521484375,-40885208974.96221,32405217325.240734,52169899586.08712,-0.00069427490234375,-1.3307959337703858e-14
400.0,-0.000354766845703125,-40885208974.961845,32405217325.24038,52169899586.08661,-0.0012054443359375,-2.310612720172758e-14
410.0,-0.000377655029296875,-40885208974.96164,32405217325.239994,52169899586.08621,-0.0016021728515625,-3.071067539470121e-14
420.0,-0.00052642822265625,-40885208974.96188,32405217325.239815,52169899586.08629,-0.00152587890625,-2.9248262280667823e-14
430.0,-0.0005435943603515625,-40885208974.96231,32405217325.240067,52169899586.086784,-0.00102996826171875,-1.974257703945078e-14
440.0,-0.000347137451171875,-40885208974.96278,32405217325.239876,52169899586.087036,-0.0007781982421875,-1.491661376314059e-14
450.0,-0.000240325927734375,-40885208974.96288,32405217325.23932,52169899586.08676,-0.0010528564453125,-2.0181300973660797e-14
