time_s,a_m,e_,i_deg,Omega_deg,omega_deg,nu_deg
0.0,6828136.9948609155,7.526333976200949e-10,51.60000000000001,0.0,180.0,180.0
10.0,6828136.994860995,7.526215094044697e-10,51.60000000000008,360.0,180.0002683240924,180.64084998579756
20.0,6828136.9948610775,7.526076582599319e-10,51.60000000000025,0.0,180.00054333084265,181.28169329008347
30.0,6828136.9948610095,7.526160770377959e-10,51.60000000000063,0.0,180.0008333622415,181.92252157047756
40.0,6828136.994861351,7.525710576409574e-10,51.600000000000826,0.0,180.00102849961985,182.5634447432252
50.0,6828136.994861288,7.525738205483639e-10,51.600000000001685,0.0,180.00138741159722,183.2042041420015
60.0,6828136.994861337,7.525706651887925e-10,51.60000000000119,0.0,180.0016874548321,183.84502240926324
70.0,6828136.994861359,7.525756228559346e-10,51.60000000000079,0.0,180.00192748472372,184.4859006901326
80.0,6828136.99486131,7.525823683071804e-10,51.60000000000035,360.0,180.00212245604226,185.12682402958995
90.0,6828136.994861334,7.525851584645202e-10,51.600000000000335,360.0,180.0023973430374,185.76766745338318
100.0,6828136.994861392,7.525794287636196e-10,51.60000000000011,360.0,180.0026992108852,186.40848389631392
110.0,6828136.994861275,7.525971056215664e-10,51.60000000000031,360.0,180.00299020224364,187.04931121562603
120.0,6828136.994861103,7.526222073849503e-10,51.59999999999994,360.0,180.00341083009832,187.69000889833822
130.0,6828136.9948610235,7.526244439213887e-10,51.600000000000335,0.0,180.00380312529236,188.33073491393301
140.0,6828136.994861097,7.526106857018547e-10,51.60000000000026,360.0,180.00416361983514,188.97149273006463
150.0,6828136.994861026,7.526126933782553e-10,51.60000000000059,0.0,180.0045412468249,189.6122334138457
160.0,6828136.99486094,7.526230850301458e-10,51.6000000000005,0.0,180.0050560778103,190.25283689361765
170.0,6828136.994861091,7.526059941683018e-10,51.5999999999995,360.0,180.00537269906025,190.89363858311017
180.0,6828136.994861047,7.526081245987313e-10,51.59999999999974,360.0,180.0055515786944,191.53457801417895
