time_s,energy_Jkg,dE_abs,dE_rel
0.0,-29188081.719801463,0.0,0.0
10.0,-29188081.71980145,1.4901161193847656e-08,5.105221143648701e-16
20.0,-29188081.71980145,1.4901161193847656e-08,5.105221143648701e-16
30.0,-29188081.71980144,2.2351741790771484e-08,7.657831715473051e-16
40.0,-29188081.719801433,2.9802322387695312e-08,1.0210442287297402e-15
50.0,-29188081.719801456,7.450580596923828e-09,2.5526105718243506e-16
60.0,-29188081.719801452,1.1175870895385742e-08,3.8289158577365256e-16
70.0,-29188081.71980146,3.725290298461914e-09,1.2763052859121753e-16
80.0,-29188081.71980146,3.725290298461914e-09,1.2763052859121753e-16
90.0,-29188081.719801467,-3.725290298461914e-09,-1.2763052859121753e-16
100.0,-29188081.719801474,-1.1175870895385742e-08,-3.8289158577365256e-16
110.0,-29188081.719801474,-1.1175870895385742e-08,-3.8289158577365256e-16
120.0,-29188081.71980146,3.725290298461914e-09,1.2763052859121753e-16
130.0,-29188081.71980146,3.725290298461914e-09,1.2763052859121753e-16
140.0,-29188081.71980146,3.725290298461914e-09,1.2763052859121753e-16
150.0,-29188081.719801452,1.1175870895385742e-08,3.8289158577365256e-16
160.0,-29188081.71980146,3.725290298461914e-09,1.2763052859121753e-16
170.0,-29188081.719801467,-3.725290298461914e-09,-1.2763052859121753e-16
180.0,-29188081.71980149,-2.60770320892334e-08,-8.934137001385226e-16
190.0,-29188081.71980148,-1.862645149230957e-08,-6.381526429560876e-16
200.0,-29188081.71980149,-2.60770320892334e-08,-8.934137001385226e-16
210.0,-29188081.71980148,-1.862645149230957e-08,-6.381526429560876e-16
220.0,-29188081.719801467,-3.725290298461914e-09,-1.2763052859121753e-16
230.0,-29188081.71980148,-1.862645149230957e-08,-6.381526429560876e-16
240.0,-29188081.719801497,-3.3527612686157227e-08,-1.1486747573209577e-15
250.0,-29188081.719801497,-3.3527612686157227e-08,-1.1486747573209577e-15
260.0,-29188081.719801497,-3.3527612686157227e-08,-1.1486747573209577e-15
270.0,-29188081.71980151,-4.842877388000488e-08,-1.6591968716858277e-15
280.0,-29188081.719801497,-3.3527612686157227e-08,-1.1486747573209577e-15
290.0,-29188081.71980149,-2.60770320892334e-08,-8.934137001385226e-16
300.0,-29188081.719801497,-3.3527612686157227e-08,-1.1486747573209577e-15
310.0,-29188081.71980148,-1.862645149230957e-08,-6.381526429560876e-16
320.0,-29188081.719801497,-3.3527612686157227e-08,-1.1486747573209577e-15
330.0,-29188081.719801497,-3.3527612686157227e-08,-1.1486747573209577e-15
340.0,-29188081.719801504,-4.0978193283081055e-08,-1.4039358145033928e-15
350.0,-29188081.71980149,-2.60770320892334e-08,-8.934137001385226e-16
360.0,-29188081.719801467,-3.725290298461914e-09,-1.2763052859121753e-16
370.0,-29188081.71980149,-2.60770320892334e-08,-8.934137001385226e-16
380.0,-29188081.719801497,-3.3527612686157227e-08,-1.1486747573209577e-15
390.0,-29188081.719801504,-4.0978193283081055e-08,-1.4039358145033928e-15
400.0,-29188081.71980149,-2.60770320892334e-08,-8.934137001385226e-16
410.0,-29188081.719801497,-3.3527612686157227e-08,-1.1486747573209577e-15
420.0,-29188081.71980151,-4.842877388000488e-08,-1.6591968716858277e-15
430.0,-29188081.71980151,-4.842877388000488e-08,-1.6591968716858277e-15
440.0,-29188081.719801497,-3.3527612686157227e-08,-1.1486747573209577e-15
450.0,-29188081.719801497,-3.3527612686157227e-08,-1.1486747573209577e-15
460.0,-29188081.71980152,-5.587935447692871e-08,-1.9144579288682626e-15
470.0,-29188081.719801527,-6.332993507385254e-08,-2.169718986050698e-15
480.0,-29188081.719801527,-6.332993507385254e-08,-2.169718986050698e-15
490.0,-29188081.71980151,-4.842877388000488e-08,-1.6591968716858277e-15
500.0,-29188081.719801534,-7.078051567077637e-08,-2.424980043233133e-15
510.0,-29188081.71980152,-5.587935447692871e-08,-1.9144579288682626e-15
520.0,-29188081.71980152,-5.587935447692871e-08,-1.9144579288682626e-15
530.0,-29188081.71980152,-5.587935447692871e-08,-1.9144579288682626e-15
540.0,-29188081.71980152,-5.587935447692871e-08,-1.9144579288682626e-15
550.0,-29188081.71980152,-5.587935447692871e-08,-1.9144579288682626e-15
560.0,-29188081.71980152,-5.587935447692871e-08,-1.9144579288682626e-15
570.0,-29188081.71980149,-2.60770320892334e-08,-8.934137001385226e-16
580.0,-29188081.71980149,-2.60770320892334e-08,-8.934137001385226e-16
590.0,-29188081.719801497,-3.3527612686157227e-08,-1.1486747573209577e-15
600.0,-29188081.719801497,-3.3527612686157227e-08,-1.1486747573209577e-15
610.0,-29188081.71980149,-2.60770320892334e-08,-8.934137001385226e-16
620.0,-29188081.719801474,-1.1175870895385742e-08,-3.8289158577365256e-16
630.0,-29188081.71980147,-7.450580596923828e-09,-2.5526105718243506e-16
640.0,-29188081.719801463,0.0,0.0
650.0,-29188081.71980145,1.4901161193847656e-08,5.105221143648701e-16
660.0,-29188081.71980145,1.4901161193847656e-08,5.105221143648701e-16
670.0,-29188081.71980145,1.4901161193847656e-08,5.105221143648701e-16
680.0,-29188081.719801426,3.725290298461914e-08,1.2763052859121751e-15
690.0,-29188081.719801433,2.9802322387695312e-08,1.0210442287297402e-15
700.0,-29188081.719801433,2.9802322387695312e-08,1.0210442287297402e-15
710.0,-29188081.719801426,3.725290298461914e-08,1.2763052859121751e-15
720.0,-29188081.71980144,2.2351741790771484e-08,7.657831715473051e-16
730.0,-29188081.71980144,2.2351741790771484e-08,7.657831715473051e-16
740.0,-29188081.719801426,3.725290298461914e-08,1.2763052859121751e-15
750.0,-29188081.719801433,2.9802322387695312e-08,1.0210442287297402e-15
760.0,-29188081.71980145,1.4901161193847656e-08,5.105221143648701e-16
770.0,-29188081.71980144,2.2351741790771484e-08,7.657831715473051e-16
780.0,-29188081.71980144,2.2351741790771484e-08,7.657831715473051e-16
790.0,-29188081.71980144,2.2351741790771484e-08,7.657831715473051e-16
800.0,-29188081.71980144,2.2351741790771484e-08,7.657831715473051e-16
810.0,-29188081.719801456,7.450580596923828e-09,2.5526105718243506e-16
820.0,-29188081.71980144,2.2351741790771484e-08,7.657831715473051e-16
830.0,-29188081.71980144,2.2351741790771484e-08,7.657831715473051e-16
840.0,-29188081.719801433,2.9802322387695312e-08,1.0210442287297402e-15
850.0,-29188081.71980145,1.4901161193847656e-08,5.105221143648701e-16
860.0,-29188081.71980144,2.2351741790771484e-08,7.657831715473051e-16
870.0,-29188081.71980145,1.4901161193847656e-08,5.105221143648701e-16
880.0,-29188081.71980145,1.4901161193847656e-08,5.105221143648701e-16
890.0,-29188081.719801437,2.60770320892334e-08,8.934137001385226e-16
900.0,-29188081.719801456,7.450580596923828e-09,2.5526105718243506e-16
910.0,-29188081.719801456,7.450580596923828e-09,2.5526105718243506e-16
920.0,-29188081.719801452,1.1175870895385742e-08,3.8289158577365256e-16
930.0,-29188081.719801452,1.1175870895385742e-08,3.8289158577365256e-16
940.0,-29188081.71980146,3.725290298461914e-09,1.2763052859121753e-16
950.0,-29188081.719801445,1.862645149230957e-08,6.381526429560876e-16
